opportunity_id,account_id,opportunity_type,stage_asof,lead_source,amount_usd,p_win_next_92d,expected_bookings_usd
O10163,A1284,Expansion,1-Discovery,Outbound,55282.627512,0.4203463703759874,23237.8518195169
O11165,A1351,New Business,1-Discovery,Inbound,127424.6805,0.18106428787167925,23072.059032008754
O11413,A1300,New Business,1-Discovery,Inbound,498700.0,0.04576258513932404,22821.801208980898
O11245,A1368,New Business,1-Discovery,Inbound,201900.0,0.10883645053964501,21974.079363954326
O10484,A1241,New Business,1-Discovery,Inbound,229473.1764,0.0914898147667976,20994.45840278467
O10068,A1241,New Business,1-Discovery,Event,207021.3474,0.10030756373675515,20765.80699919443
O12034,A1098,New Business,2-Qualified,Outbound,156200.0,0.1284056001579508,20056.954744671915
O11995,A1056,New Business,1-Discovery,Inbound,286800.0,0.06781666682521752,19449.820045472385
O11647,A1180,Expansion,2-Qualified,Outbound,57587.843669999995,0.32673434865908324,18815.926592198557
O10252,A1159,Expansion,1-Discovery,Inbound,57750.0,0.32304079433400457,18655.605872788765
O10058,A1383,New Business,1-Discovery,Outbound,152800.0,0.12170606480249904,18596.686701821855
O11982,A1270,Expansion,2-Qualified,Inbound,72869.346522,0.23609568767090525,17204.13847724108
O10516,A1374,Expansion,1-Discovery,Inbound,56285.961102,0.29803899586228755,16775.411327983857
O10955,A1101,New Business,1-Discovery,Inbound,172808.68079999997,0.09605101946385339,16598.449963043626
O11290,A1094,New Business,1-Discovery,Outbound,241000.0,0.06814866922656848,16423.829283603005
O10263,A1008,Expansion,1-Discovery,Inbound,32887.05945,0.4920417086724915,16181.804924991808
O10655,A1250,New Business,2-Qualified,Outbound,91500.0,0.17486046137727929,15999.732216021055
O11185,A1003,New Business,2-Qualified,Partner,123500.0,0.12077582961162517,14915.814957035709
O10383,A1353,New Business,1-Discovery,Outbound,128260.64859999999,0.11366173606573154,14578.327988792738
O11365,A1345,Expansion,1-Discovery,Inbound,36666.0,0.39655471567147094,14540.075204810153
O10132,A1255,Expansion,1-Discovery,Outbound,81438.0,0.1769395028268736,14409.599231214932
O11900,A1404,Expansion,1-Discovery,Inbound,58422.0,0.2427723305758561,14183.245096902665
O11597,A1301,New Business,1-Discovery,Inbound,166100.0,0.0853854835729687,14182.528821470101
O99001,A1111,Expansion,1-Discovery,Outbound,53754.96336,0.26156442593524154,14060.386132428343
O11450,A1111,Expansion,1-Discovery,Outbound,53754.96336,0.26156442593524154,14060.386132428343
O11868,A1326,Expansion,1-Discovery,Outbound,51408.0,0.2708372489553999,13923.201294299199
O12487,A1394,New Business,1-Discovery,Event,114800.0,0.12103917574716183,13895.297375774178
O10750,A1311,New Business,1-Discovery,Outbound,174400.0,0.07658403235411186,13356.255242557108
O10585,A1374,New Business,2-Qualified,Outbound,127820.58510000001,0.10315357324952566,13185.15008791008
O10568,A1395,New Business,1-Discovery,Outbound,139141.8925,0.09432977731522886,13125.223734744512
O11535,A1343,New Business,1-Discovery,Inbound,65100.0,0.19671933448902637,12806.428675235617
O10622,A1091,New Business,1-Discovery,Partner,255187.35749999998,0.04884494842921422,12464.613316874951
O11142,A1130,New Business,1-Discovery,Outbound,272800.0,0.04540594419459004,12386.741576284163
O11739,A1250,Expansion,1-Discovery,Referral,37212.0,0.33279510470553997,12383.971436302554
O10510,A1078,New Business,1-Discovery,Outbound,98600.0,0.12453728768823674,12279.376566060142
O11514,A1094,Expansion,1-Discovery,Inbound,66948.0,0.18181876322972074,12172.402560703344
O10391,A1130,Expansion,1-Discovery,Inbound,61488.0,0.1979009124888027,12168.531307111502
O10300,A1007,New Business,1-Discovery,Event,84300.0,0.14155267255962767,11932.890296776612
O11394,A1170,New Business,1-Discovery,Inbound,175500.0,0.06783501525015027,11905.045176401372
O12062,A1221,Expansion,1-Discovery,Partner,64835.55598799999,0.1806070858964568,11709.760829469249
O10916,A1383,Expansion,1-Discovery,Outbound,28098.0,0.41115540722147603,11552.644632109033
O12026,A1332,New Business,1-Discovery,Referral,231800.0,0.049420026877416326,11455.562230185104
O12312,A1378,Expansion,1-Discovery,Inbound,51156.0,0.21964937835643197,11236.383599201634
O11476,A1138,New Business,1-Discovery,Partner,265300.0,0.04036188888459518,10708.009121083101
O11306,A1267,New Business,1-Discovery,Outbound,46700.0,0.2202914932012415,10287.612732497979
O10332,A1227,New Business,1-Discovery,Referral,63800.0,0.16022237665523825,10222.187630604201
O11247,A1056,New Business,1-Discovery,Outbound,176600.0,0.057770461699079116,10202.263536057371
O11143,A1143,Expansion,1-Discovery,Outbound,73332.0,0.13781263453715187,10106.07611587842
O11257,A1161,New Business,1-Discovery,Event,199860.50699999998,0.05045029888298338,10083.022313054591
O10295,A1248,New Business,1-Discovery,Inbound,91700.0,0.10630150843838146,9747.84832379958
O11031,A1252,New Business,1-Discovery,Outbound,75000.0,0.12744982312502576,9558.736734376931
O10306,A1284,New Business,1-Discovery,Outbound,74022.40999999999,0.128332864781452,9499.507933327199
O10957,A1121,New Business,1-Discovery,Event,59700.0,0.15490148469406442,9247.618636235646
O10978,A1298,New Business,1-Discovery,Inbound,52995.226200000005,0.16845557925099452,8927.341527058483
O10943,A1030,New Business,1-Discovery,Event,55800.0,0.1579188709184234,8811.872997248027
O11431,A1389,Expansion,1-Discovery,Outbound,20202.0,0.4350551348049491,8788.983833329583
O11600,A1302,New Business,1-Discovery,Inbound,54642.7675,0.15301910519294556,8361.387388116167
O12284,A1197,New Business,2-Qualified,Inbound,177100.0,0.04550836136799631,8059.530798272147
O11742,A1142,New Business,3-Proposal,Inbound,70100.0,0.11115131707708305,7791.7073271035215
O11693,A1362,Expansion,1-Discovery,Inbound,30534.0,0.24517042171778192,7486.033656730753
O11549,A1143,Expansion,1-Discovery,Outbound,54180.0,0.1376764374465243,7459.309380852686
O11801,A1255,New Business,1-Discovery,Outbound,104300.0,0.07075988268547719,7380.25576409527
O10804,A1202,Expansion,2-Qualified,Outbound,91266.0,0.08083847737544023,7377.804476146927
O11438,A1345,New Business,1-Discovery,Inbound,55900.0,0.1308326583203541,7313.545600107794
O10196,A1275,New Business,1-Discovery,Outbound,35600.0,0.20493313670709465,7295.61966677257
O11330,A1415,New Business,1-Discovery,Referral,52800.0,0.13520020788293108,7138.570976218761
O12417,A1234,Expansion,1-Discovery,Referral,19194.0,0.3696576112249113,7095.208189850948
O12147,A1403,New Business,1-Discovery,Outbound,82200.0,0.0851064816672468,6995.752793047686
O11875,A1049,Expansion,1-Discovery,Event,34944.0,0.1987145717677863,6943.881995853525
O10812,A1202,New Business,1-Discovery,Outbound,151300.0,0.045689902823663586,6912.882297220301
O11835,A1404,New Business,2-Qualified,Outbound,139600.0,0.04798995582270761,6699.3978328499825
O10757,A1340,Expansion,1-Discovery,Partner,71316.0,0.09281908485187232,6619.485855296126
O10910,A1329,New Business,2-Qualified,Inbound,312400.0,0.02059938791570892,6435.248784867466
O11488,A1138,Expansion,2-Qualified,Inbound,39312.0,0.16177748683303853,6359.79656238041
O11761,A1263,New Business,3-Proposal,Partner,59700.0,0.10631149832997543,6346.796450299533
O12086,A1223,New Business,1-Discovery,Outbound,33800.0,0.18508258312186213,6255.79130951894
O10808,A1363,New Business,1-Discovery,Partner,91146.38949999999,0.06301154380641566,5743.274714775874
O11716,A1102,New Business,1-Discovery,Outbound,37400.0,0.1402364845716736,5244.844522980592
O10697,A1416,Expansion,1-Discovery,Inbound,15510.342834000001,0.31880403225824494,4944.759837186974
O10542,A1042,Expansion,1-Discovery,Referral,36372.0,0.1349884185531528,4909.798759615273
O12180,A1197,New Business,2-Qualified,Inbound,137300.0,0.033988357196638896,4666.601443098521
O11968,A1318,New Business,1-Discovery,Inbound,32593.862100000002,0.13789637633272464,4494.575474278531
O10550,A1416,Expansion,2-Qualified,Referral,11966.050656000001,0.3670737138643923,4392.422654587368
O12044,A1231,Expansion,2-Qualified,Inbound,14213.145912,0.2870144391996182,4079.378103195026
O12167,A1280,New Business,1-Discovery,Partner,70994.2317,0.05745392642479363,4078.897364676552
O11178,A1287,New Business,1-Discovery,Outbound,45200.0,0.08386566497157737,3790.728056715297
O11447,A1126,New Business,1-Discovery,Partner,50400.0,0.07350340112797313,3704.5714168498457
O10888,A1115,New Business,2-Qualified,Outbound,27900.0,0.12662599602379937,3532.8652890640024
O12486,A1276,New Business,3-Proposal,Outbound,12167.874,0.28832348882770126,3508.2838832958764
O10589,A1281,Expansion,1-Discovery,Inbound,19243.34853,0.17836937917773685,3432.424130596915
O10877,A1004,New Business,1-Discovery,Inbound,21057.431800000002,0.16007308149744348,3370.7279966482583
O12124,A1145,Expansion,1-Discovery,Outbound,7644.0,0.4079914150272536,3118.6863764683267
O11780,A1254,New Business,1-Discovery,Event,26100.0,0.11807847993015691,3081.8483261770953
O11646,A1258,New Business,1-Discovery,Inbound,33300.0,0.09226576324149179,3072.4499159416764
O10119,A1418,New Business,1-Discovery,Event,38632.6299,0.0767427579990958,2964.7745672843325
O10370,A1085,New Business,1-Discovery,Outbound,26700.0,0.11029906521751263,2944.9850413075874
O11554,A1240,Expansion,1-Discovery,Inbound,5922.0,0.4416613633448326,2615.5185937280985
O11256,A1281,New Business,1-Discovery,Partner,59800.6241,0.04316028371240195,2581.0119023347015
O12117,A1356,Expansion,2-Qualified,Outbound,9348.010392,0.2754803535965389,2575.1932082122803
O12287,A1079,New Business,1-Discovery,Partner,29600.0,0.08576872957560992,2538.7543954380535
O11918,A1016,Expansion,3-Proposal,Event,3440.345832,0.5862134023526993,2016.776835446648
O12399,A1342,New Business,1-Discovery,Partner,12866.1322,0.12791496020274995,1645.7707883263197
O11498,A1361,Expansion,1-Discovery,Inbound,4914.0,0.3121898186027532,1534.1007686139292
O10596,A1016,Expansion,1-Discovery,Outbound,3336.092928,0.41693370024463994,1390.929568831015
O12125,A1090,New Business,2-Qualified,Inbound,9600.0,0.11553880693807184,1109.1725466054895
O11653,A1407,New Business,1-Discovery,Partner,7798.282700000001,0.14182131293773267,1105.962691173607
O10751,A1208,Expansion,1-Discovery,Partner,5292.0,0.17610451612900466,931.9450993546926
O10911,A1082,New Business,1-Discovery,Partner,11666.3964,0.076173802215936,888.6737719463077
O12015,A1316,New Business,1-Discovery,Partner,10900.0,0.07594735291595985,827.8261467839623
O11755,A1226,New Business,1-Discovery,Outbound,7301.8403,0.08655771595949706,632.0306186690087
O12322,A1334,Expansion,2-Qualified,Outbound,1311.849042,0.4704938406060793,617.2168940659858
O12304,A1089,Expansion,2-Qualified,Partner,2006.868402,0.3036936903015108,609.4732709528759
