account_id,account_name,domain,region,segment,industry,parent_account_id,parent_account_name,root_account_id,root_account_name,hierarchy_depth,arr_usd,next_contract_event_date,days_to_contract_event,jan_feb_monthly_events,apr_jun_monthly_events,usage_ratio_post_vs_pre,apr_jun_monthly_users,latest_health_month,health_score,renewal_risk,open_tickets,csm_user_id,targeted_reengagement_candidate
A1179,Thorne Partners SA,thornepartners.example.com,EMEA,Enterprise,Government,,,A1179,Thorne Partners SA,0,475552.63,2026-11-04,127,96.5,112.66666666666667,1.1675302245250432,8.0,2026-06-01,61.9,Medium,2,U303,0
A1188,Stanhope Holdings Inc,stanhopeholdings.example.com,AMER,Enterprise,Crypto Native,A1036,Cobalt Partners Pte Ltd,A1036,Cobalt Partners Pte Ltd,1,472659.22000000003,2026-11-07,130,116.5,124.66666666666667,1.0701001430615165,6.0,2026-06-01,73.7,Low,2,U303,0
A1307,Zenith Custody GmbH,zenithcustody.example.com,LATAM,Enterprise,Payments,,,A1307,Zenith Custody GmbH,0,467553.55999999994,2026-07-24,24,854.0,840.6666666666666,0.9843871975019516,3.0,2026-06-01,74.8,Low,1,U301,0
A1351,Juniper Trust Co,junipertrust.example.com,,Enterprise,Crypto Native,,,A1351,Juniper Trust Co,0,458734.24647745,2026-10-16,108,79.5,115.0,1.4465408805031446,8.0,2026-06-01,79.6,Low,0,U303,0
A1315,Tessera Partners LLC,tesserapartners.example.com,,Enterprise,Government,,,A1315,Tessera Partners LLC,0,438990.01,2026-08-06,37,100.0,95.0,0.95,1.0,2026-06-01,26.7,High,5,U305,0
A1202,Inlet Exchange Co,inletexchange.example.com,EMEA,Public Sector,Insurance,,,A1202,Inlet Exchange Co,0,400181.45999999996,2026-12-03,156,136.0,129.0,0.9485294117647058,1.0,2026-06-01,69.9,Low,1,U304,0
A1404,Solstice Analytics Ltd,solsticeanalytics.example.com,AMER,Enterprise,Gaming,,,A1404,Solstice Analytics Ltd,0,391600.0,2026-11-07,130,308.5,262.6666666666667,0.851431658562939,8.0,2026-06-01,91.0,Low,2,U300,0
A1297,Redmond Labs GmbH,redmondlabs.example.com,EMEA,Public Sector,Gaming,,,A1297,Redmond Labs GmbH,0,389300.0,2026-10-26,118,293.5,323.6666666666667,1.1027825099375355,14.0,2026-05-01,86.6,Low,3,U304,0
A1215,Harrow Partners Pte Ltd,harrowpartners.example.com,EMEA,Public Sector,Government,,,A1215,Harrow Partners Pte Ltd,0,368856.83,2026-07-21,21,22.0,23.0,1.0454545454545454,3.0,2026-06-01,63.8,Medium,1,U304,0
A1065,Quarry Payments Inc,quarrypayments.example.com,AMER,Mid-Market,Payments,,,A1065,Quarry Payments Inc,0,364619.7632458,2027-05-08,312,276.5,236.66666666666666,0.8559373116335142,5.0,2026-06-01,98.9,Low,2,U301,0
A1137,Lumen Digital Inc,lumendigital.example.com,APAC,Enterprise,Fintech,,,A1137,Lumen Digital Inc,0,353830.67,2026-09-22,84,259.0,295.6666666666667,1.1415701415701416,8.0,2026-06-01,94.8,Low,3,U301,0
A1335,Quarry Financial Co,quarryfinancial.example.com,AMER,Enterprise,Government,,,A1335,Quarry Financial Co,0,338536.0,2026-07-09,9,380.0,515.6666666666666,1.357017543859649,5.0,2026-06-01,31.1,High,0,U301,0
A1400,Stanhope Networks Ltd,stanhopenetworks.example.com,AMER,,Payments,,,A1400,Stanhope Networks Ltd,0,329949.92,2026-12-20,173,268.0,262.0,0.9776119402985075,7.0,2026-06-01,61.6,Medium,2,U303,0
A1143,Granite Advisors GmbH,graniteadvisors.example.com,LATAM,Public Sector,Gaming,,,A1143,Granite Advisors GmbH,0,328020.0,2026-10-31,123,176.5,214.0,1.2124645892351276,7.0,2026-06-01,72.6,Low,2,U304,0
A1031,Gilder Financial Co,gilderfinancial.example.com,,Mid-Market,Government,,,A1031,Gilder Financial Co,0,325563.66787587997,2026-11-20,143,108.0,116.66666666666667,1.080246913580247,6.0,2026-06-01,75.8,Low,5,U300,0
A1417,Lumen Holdings Ltd,lumenholdings.example.com,EMEA,Public Sector,Fintech,A1080,Keystone Networks GmbH,A1080,Keystone Networks GmbH,1,318207.32999999996,2026-08-17,48,84.5,82.0,0.9704142011834319,8.0,2026-06-01,53.8,Medium,1,U301,0
A1263,Halcyon Partners SA,halcyonpartners.example.com,AMER,Enterprise,Financial Services,,,A1263,Halcyon Partners SA,0,314515.37,2026-10-27,119,614.5,557.0,0.9064279902359642,5.0,2026-06-01,92.9,Low,3,U301,0
A1037,Cobalt Group LLC,cobaltgroup.example.com,AMER,Mid-Market,Consulting,,,A1037,Cobalt Group LLC,0,313856.2,2026-09-14,76,161.5,169.33333333333334,1.0485036119711042,9.0,2026-06-01,57.8,Medium,0,U302,0
A1286,Cobalt Group Ltd,cobaltgroup.example.com,EMEA,Mid-Market,Government,,,A1286,Cobalt Group Ltd,0,307690.0,2027-02-23,238,51.5,44.333333333333336,0.8608414239482202,10.666666666666666,2026-06-01,95.2,Low,4,U305,0
A1347,Juniper Partners LLC,juniperpartners.example.com,APAC,Enterprise,Insurance,,,A1347,Juniper Partners LLC,0,299510.36,2027-02-14,229,49.5,52.666666666666664,1.063973063973064,5.0,2026-05-01,99.0,Low,2,U300,0
A1353,Halcyon Ventures Inc,halcyonventures.example.com,LATAM,Public Sector,Crypto Native,,,A1353,Halcyon Ventures Inc,0,290894.61267999996,2026-09-22,84,46.0,59.333333333333336,1.289855072463768,4.0,2026-06-01,80.7,Low,1,U301,0
A1150,Stanhope Capital GmbH,stanhopecapital.example.com,EMEA,Enterprise,Gaming,,,A1150,Stanhope Capital GmbH,0,279653.04262115003,2026-10-31,123,762.0,684.6666666666666,0.8985126859142607,2.0,2026-06-01,60.0,Medium,0,U303,0
A1161,Sable Securities LLC,sablesecurities.example.com,AMER,Public Sector,Fintech,,,A1161,Sable Securities LLC,0,278956.81674,2027-03-06,249,43.0,38.0,0.8837209302325582,4.0,2026-06-01,66.7,Low,2,U302,0
A1412,Riverbend Payments GmbH,riverbendpayments.example.com,APAC,Mid-Market,Payments,,,A1412,Riverbend Payments GmbH,0,277941.22554725,2027-05-12,316,68.0,89.0,1.3088235294117647,5.0,2026-06-01,47.1,Medium,3,U302,0
A1206,Keystone Systems SA,keystonesystems.example.com,,Mid-Market,Crypto Native,,,A1206,Keystone Systems SA,0,276558.67,2026-10-12,104,71.0,112.0,1.5774647887323943,4.0,2026-06-01,44.4,High,3,U300,0
A1311,Cobalt Financial Inc,cobaltfinancial.example.com,LATAM,Enterprise,Gaming,,,A1311,Cobalt Financial Inc,0,272832.0,2027-06-08,343,127.0,166.66666666666666,1.3123359580052492,11.0,2026-06-01,91.5,Low,2,U301,0
A1330,Solstice Advisors SA,solsticeadvisors.example.com,,Enterprise,Financial Services,,,A1330,Solstice Advisors SA,0,269358.51,2027-06-13,348,33.5,28.0,0.835820895522388,5.0,2026-06-01,33.4,High,1,U302,0
A1049,Juniper Trust Pte Ltd,junipertrust.example.com,,Public Sector,Gaming,,,A1049,Juniper Trust Pte Ltd,0,269026.69,2027-02-09,224,251.0,282.6666666666667,1.1261620185922976,1.0,2026-05-01,11.4,High,3,U305,0
A1388,Cobalt Financial Pte Ltd,cobaltfinancial.example.com,AMER,Public Sector,Government,,,A1388,Cobalt Financial Pte Ltd,0,267194.96482625,2026-10-05,97,265.0,226.66666666666666,0.8553459119496855,6.0,2026-06-01,67.8,Low,0,U300,0
A1192,Caldera Capital Pte Ltd,calderacapital.example.com,EMEA,Enterprise,Consulting,A1043,Marrow Digital PLC,A1043,Marrow Digital PLC,1,259596.29,2026-10-24,116,187.0,200.33333333333334,1.071301247771836,5.0,2026-06-01,93.7,Low,3,U301,0
A1395,Westford Networks Co,westfordnetworks.example.com,AMER,Enterprise,Gaming,,,A1395,Westford Networks Co,0,259477.42314245,2026-08-19,50,119.5,170.33333333333334,1.4253835425383543,8.0,2026-06-01,48.0,Medium,3,U305,0
A1296,Vertex Digital LLC,vertexdigital.example.com,AMER,,Gaming,,,A1296,Vertex Digital LLC,0,252869.94,2026-09-03,65,336.0,339.0,1.0089285714285714,5.0,2026-06-01,84.8,Low,2,U305,0
A1168,Keystone Labs PLC,keystonelabs.example.com,AMER,Mid-Market,Fintech,,,A1168,Keystone Labs PLC,0,251912.31,2026-07-19,19,104.5,118.66666666666667,1.1355661881977672,10.0,2026-06-01,61.4,Medium,4,U301,0
A1198,Westford Holdings LLC,westfordholdings.example.com,AMER,Mid-Market,Insurance,,,A1198,Westford Holdings LLC,0,249882.53,2027-02-05,220,15.5,17.0,1.096774193548387,6.666666666666667,2026-06-01,68.0,Low,1,U302,0
A1326,Beltway Payments Inc,beltwaypayments.example.com,EMEA,Enterprise,Consulting,,,A1326,Beltway Payments Inc,0,249299.13,2026-09-23,85,98.0,124.0,1.2653061224489797,8.0,2026-04-01,88.9,Low,4,U302,0
A1190,Dovetail Custody GmbH,dovetailcustody.example.com,AMER,Public Sector,Fintech,A1082,Keystone Ventures GmbH,A1082,Keystone Ventures GmbH,1,248555.93813433,2026-07-19,19,358.5,273.3333333333333,0.7624360762436075,10.0,2026-06-01,85.7,Low,1,U305,0
A1319,Fairlane Securities PLC,fairlanesecurities.example.com,LATAM,Enterprise,Fintech,,,A1319,Fairlane Securities PLC,0,248505.63,2026-10-13,105,42.5,47.333333333333336,1.1137254901960785,8.0,2026-06-01,52.1,Medium,1,U301,0
A1131,Norsk Holdings GmbH,norskholdings.example.com,AMER,Enterprise,Government,,,A1131,Norsk Holdings GmbH,0,248274.45,2026-10-16,108,75.5,86.33333333333333,1.1434878587196466,6.0,2026-06-01,79.8,Low,3,U303,0
A1160,Palisade Labs Inc,palisadelabs.example.com,AMER,Public Sector,Insurance,,,A1160,Palisade Labs Inc,0,246860.66999999998,2026-08-12,43,22.5,19.333333333333332,0.8592592592592592,10.333333333333334,2026-06-01,44.7,High,3,U301,0
A1052,Norsk Advisors Co,norskadvisors.example.com,AMER,Mid-Market,Payments,,,A1052,Norsk Advisors Co,0,238224.65999999997,2027-04-29,303,381.5,335.3333333333333,0.8789864569681083,2.0,2026-06-01,53.5,Medium,1,U300,0
A1357,Thorne Digital LLC,thornedigital.example.com,EMEA,Mid-Market,Financial Services,,,A1357,Thorne Digital LLC,0,229851.695808,2027-03-09,252,103.5,118.66666666666667,1.146537842190016,10.0,2026-06-01,62.4,Medium,2,U300,0
A1305,Norsk Payments LLC,norskpayments.example.com,AMER,Mid-Market,Insurance,,,A1305,Norsk Payments LLC,0,229332.98,2026-07-01,1,78.0,83.66666666666667,1.0726495726495726,2.0,2026-05-01,69.1,Low,2,U300,0
A1101,Riverbend Analytics GmbH,riverbendanalytics.example.com,EMEA,Enterprise,Government,,,A1101,Riverbend Analytics GmbH,0,220855.95419999998,2026-09-15,77,256.0,292.3333333333333,1.1419270833333333,1.0,2026-05-01,5.0,High,3,U301,0
A1124,Quarry Exchange SA,quarryexchange.example.com,AMER,Mid-Market,Consulting,,,A1124,Quarry Exchange SA,0,220709.52,2026-09-18,80,46.0,46.0,1.0,9.666666666666666,2026-06-01,79.5,Low,3,U301,0
A1127,Palisade Partners PLC,palisadepartners.example.com,,Enterprise,Fintech,,,A1127,Palisade Partners PLC,0,219941.08247999998,2026-11-07,130,104.5,115.33333333333333,1.1036682615629985,9.0,2026-06-01,11.8,High,0,U303,0
A1362,Juniper Systems SA,junipersystems.example.com,AMER,Enterprise,Fintech,,,A1362,Juniper Systems SA,0,215048.28,2026-07-06,6,157.0,122.33333333333333,0.7791932059447982,6.0,2026-06-01,62.3,Medium,3,U300,1
A1306,Marrow Exchange Inc,marrowexchange.example.com,AMER,Public Sector,Insurance,,,A1306,Marrow Exchange Inc,0,213060.63,2027-06-02,337,138.5,132.0,0.9530685920577617,1.0,2026-06-01,95.9,Low,4,U303,0
A1029,Quarry Networks LLC,quarrynetworks.example.com,APAC,Enterprise,Payments,,,A1029,Quarry Networks LLC,0,209331.79548707997,2026-09-22,84,63.0,73.66666666666667,1.1693121693121693,10.666666666666666,2026-06-01,73.2,Low,3,U301,0
A1059,Halcyon Analytics Ltd,halcyonanalytics.example.com,,Enterprise,Insurance,,,A1059,Halcyon Analytics Ltd,0,205548.0,2027-03-24,267,186.5,203.0,1.0884718498659518,4.0,2026-06-01,83.4,Low,0,U302,0
A1237,Caldera Partners Co,calderapartners.example.com,AMER,Enterprise,Gaming,,,A1237,Caldera Partners Co,0,203598.54284292,2026-07-29,29,524.5,454.3333333333333,0.8662217985382904,2.0,2026-06-01,58.7,Medium,3,U301,0
A1159,Lattice Analytics Co,latticeanalytics.example.com,EMEA,,Payments,,,A1159,Lattice Analytics Co,0,202138.0,2026-08-15,46,184.5,262.3333333333333,1.4218608852755192,9.0,2026-06-01,86.0,Low,3,U304,0
A1050,Solstice Bancorp SA,solsticebancorp.example.com,AMER,Mid-Market,Government,,,A1050,Solstice Bancorp SA,0,194807.47120864998,2026-07-01,1,87.0,122.0,1.4022988505747127,4.0,2026-06-01,66.8,Low,0,U303,0
A1007,Umbra Networks Inc,umbranetworks.example.com,LATAM,,Consulting,,,A1007,Umbra Networks Inc,0,193653.11,2027-01-21,205,417.0,350.0,0.8393285371702638,4.0,2026-06-01,47.0,Medium,3,U301,0
A1250,Ironclad Securities Pte Ltd,ironcladsecurities.example.com,EMEA,Mid-Market,Government,,,A1250,Ironclad Securities Pte Ltd,0,193046.56,2026-07-23,23,244.0,280.0,1.1475409836065573,15.0,2026-06-01,54.7,Medium,3,U301,0
A1196,Pinnacle Group GmbH,pinnaclegroup.example.com,LATAM,Mid-Market,Financial Services,,,A1196,Pinnacle Group GmbH,0,192943.61075444,2027-04-16,290,116.5,111.0,0.9527896995708155,6.0,2026-06-01,99.0,Low,1,U305,0
A1221,Tessera Networks Inc,tesseranetworks.example.com,AMER,Enterprise,Government,,,A1221,Tessera Networks Inc,0,185638.8505391,2026-08-27,58,353.5,215.33333333333334,0.6091466289486092,8.0,2026-06-01,49.9,Medium,4,U303,1
A1343,Fairlane Group Pte Ltd,fairlanegroup.example.com,EMEA,,Government,,,A1343,Fairlane Group Pte Ltd,0,181189.47,2026-08-04,35,273.5,259.0,0.946983546617916,3.0,2026-06-01,89.6,Low,2,U304,0
A1379,Ardent Ventures PLC,ardentventures.example.com,AMER,Enterprise,Crypto Native,,,A1379,Ardent Ventures PLC,0,181035.72,2027-03-16,259,93.0,94.0,1.010752688172043,10.0,2026-06-01,90.1,Low,2,U304,0
A1024,Cobalt Financial Ltd,cobaltfinancial.example.com,AMER,Enterprise,Government,,,A1024,Cobalt Financial Ltd,0,176612.97,2027-01-18,202,71.5,84.33333333333333,1.1794871794871795,4.0,2026-06-01,55.9,Medium,2,U301,0
A1213,Fairlane Financial GmbH,fairlanefinancial.example.com,EMEA,Enterprise,Gaming,,,A1213,Fairlane Financial GmbH,0,174854.71000000002,2026-12-16,169,139.0,127.33333333333333,0.9160671462829736,5.0,2026-06-01,95.8,Low,1,U302,0
A1248,Keystone Trust Inc,keystonetrust.example.com,LATAM,Enterprise,Insurance,,,A1248,Keystone Trust Inc,0,172667.49,2026-10-19,111,290.5,283.0,0.9741824440619621,4.0,2026-06-01,80.6,Low,1,U305,0
A1080,Keystone Networks GmbH,keystonenetworks.example.com,APAC,Public Sector,Payments,,,A1080,Keystone Networks GmbH,0,171771.5,2026-09-01,63,260.0,221.0,0.85,5.0,2026-06-01,88.3,Low,1,U304,0
A1410,Lattice Ventures Pte Ltd,latticeventures.example.com,EMEA,Mid-Market,Financial Services,,,A1410,Lattice Ventures Pte Ltd,0,164490.53,2026-08-22,53,156.5,114.0,0.7284345047923323,1.0,2026-06-01,72.3,Low,6,U302,0
A1284,Kestrel Bancorp GmbH,kestrelbancorp.example.com,AMER,Mid-Market,Payments,,,A1284,Kestrel Bancorp GmbH,0,161925.39465424,2026-10-27,119,235.0,293.3333333333333,1.24822695035461,8.0,2026-06-01,74.3,Low,2,U300,0
A1121,Caldera Holdings Ltd,calderaholdings.example.com,LATAM,Mid-Market,Crypto Native,,,A1121,Caldera Holdings Ltd,0,160249.76,2027-01-09,193,219.0,255.33333333333334,1.1659056316590564,2.0,2026-05-01,60.6,Medium,1,U304,0
A1169,Norsk Systems Ltd,norsksystems.example.com,LATAM,Enterprise,Insurance,,,A1169,Norsk Systems Ltd,0,160000.0,2026-08-15,46,188.5,166.66666666666666,0.8841732979664013,4.0,2026-06-01,90.2,Low,4,U305,0
A1271,Zenith Trust SA,zenithtrust.example.com,APAC,Mid-Market,Crypto Native,,,A1271,Zenith Trust SA,0,156370.03,2026-08-06,37,85.5,81.0,0.9473684210526315,9.0,2026-06-01,66.3,Low,6,U304,0
A1035,Fairlane Capital LLC,fairlanecapital.example.com,LATAM,Mid-Market,Financial Services,,,A1035,Fairlane Capital LLC,0,155111.83,2026-12-22,175,133.0,168.0,1.263157894736842,4.0,2026-06-01,88.9,Low,5,U300,0
A1183,Auriga Networks SA,auriganetworks.example.com,AMER,,Crypto Native,,,A1183,Auriga Networks SA,0,150818.73579233998,2026-09-23,85,84.5,118.0,1.3964497041420119,2.0,2026-06-01,47.9,Medium,1,U300,0
A1274,Tessera Exchange LLC,tesseraexchange.example.com,EMEA,Public Sector,Fintech,,,A1274,Tessera Exchange LLC,0,150760.6799192,2027-02-04,219,69.0,70.66666666666667,1.0241545893719808,7.0,2026-06-01,89.9,Low,1,U300,0
A1138,Northwind Digital SA,northwinddigital.example.com,EMEA,Public Sector,Gaming,,,A1138,Northwind Digital SA,0,150176.53,2026-07-16,16,78.5,75.66666666666667,0.9639065817409767,6.0,2026-06-01,65.2,Low,1,U304,0
A1060,Orbit Advisors PLC,orbitadvisors.example.com,LATAM,Mid-Market,Financial Services,,,A1060,Orbit Advisors PLC,0,149425.22,2026-10-25,117,107.5,90.33333333333333,0.8403100775193798,4.0,2026-06-01,42.0,High,0,U302,0
A1260,Auriga Bancorp SA,aurigabancorp.example.com,AMER,Mid-Market,Consulting,,,A1260,Auriga Bancorp SA,0,149326.9,2026-12-01,154,217.5,219.0,1.006896551724138,5.0,2026-06-01,52.4,Medium,3,U304,0
A1243,Lumen Capital GmbH,lumencapital.example.com,AMER,Public Sector,Crypto Native,,,A1243,Lumen Capital GmbH,0,148418.91,2027-02-27,242,866.5,1092.0,1.2602423542989036,8.0,2026-06-01,24.5,High,1,U305,0
A1209,Meridian Payments Inc,meridianpayments.example.com,,Mid-Market,Financial Services,,,A1209,Meridian Payments Inc,0,146339.0072081,2027-02-25,240,76.5,87.66666666666667,1.1459694989106755,9.0,2026-06-01,43.6,High,1,U303,0
A1170,Fairlane Analytics Co,fairlaneanalytics.example.com,EMEA,Public Sector,Government,A1098,Inlet Custody SA,A1098,Inlet Custody SA,1,146020.23,2026-07-31,31,311.0,322.0,1.0353697749196142,10.0,2026-06-01,74.9,Low,1,U304,0
A1393,Stanhope Group Co,stanhopegroup.example.com,,,Financial Services,,,A1393,Stanhope Group Co,0,143023.25,2026-07-08,8,623.0,733.6666666666666,1.1776350989834135,5.0,2026-06-01,67.9,Low,2,U300,0
A1195,Auriga Securities Inc,aurigasecurities.example.com,,Enterprise,Fintech,,,A1195,Auriga Securities Inc,0,140658.77000000002,2026-10-30,122,520.0,494.6666666666667,0.9512820512820513,6.0,2026-06-01,75.2,Low,4,U301,0
A1264,Lattice Labs Co,latticelabs.example.com,,Enterprise,Financial Services,A1092,Halcyon Financial PLC,A1092,Halcyon Financial PLC,1,140339.34650020002,2026-07-12,12,257.5,298.3333333333333,1.1585760517799353,1.0,2026-06-01,86.1,Low,0,U303,0
A1054,Granite Custody Inc,granitecustody.example.com,,Enterprise,Payments,,,A1054,Granite Custody Inc,0,137962.6182,2027-07-07,372,121.0,116.0,0.9586776859504132,6.0,2026-06-01,79.8,Low,3,U300,0
A1057,Zenith Capital LLC,zenithcapital.example.com,LATAM,Enterprise,Payments,,,A1057,Zenith Capital LLC,0,137856.6,2026-08-12,43,49.5,53.0,1.0707070707070707,6.0,2026-06-01,83.6,Low,2,U303,0
A1178,Granite Exchange Co,graniteexchange.example.com,EMEA,Mid-Market,Gaming,,,A1178,Granite Exchange Co,0,135995.7,2026-09-15,77,306.0,350.3333333333333,1.144880174291939,9.0,2026-06-01,78.1,Low,5,U305,0
A1337,Harrow Capital Pte Ltd,harrowcapital.example.com,APAC,Public Sector,Government,,,A1337,Harrow Capital Pte Ltd,0,132804.0,2026-10-20,112,171.0,120.0,0.7017543859649122,7.0,2026-05-01,94.2,Low,1,U301,0
A1134,Harrow Ventures SA,harrowventures.example.com,AMER,Mid-Market,Financial Services,,,A1134,Harrow Ventures SA,0,130376.0884711,2026-07-18,18,252.5,271.0,1.0732673267326733,2.0,2026-06-01,56.5,Medium,1,U301,0
A1125,Sable Group SA,sablegroup.example.com,APAC,Mid-Market,Consulting,,,A1125,Sable Group SA,0,129336.0,2026-07-05,5,86.0,92.33333333333333,1.073643410852713,5.0,2026-06-01,83.1,Low,0,U302,0
A1246,Redmond Partners GmbH,redmondpartners.example.com,LATAM,Mid-Market,Crypto Native,,,A1246,Redmond Partners GmbH,0,128735.2281291,2026-11-14,137,131.0,107.66666666666667,0.8218829516539441,8.0,2026-06-01,96.1,Low,2,U305,0
A1366,Cobalt Networks LLC,cobaltnetworks.example.com,EMEA,Mid-Market,Insurance,,,A1366,Cobalt Networks LLC,0,128021.19,2026-07-05,5,580.5,574.6666666666666,0.9899511915015791,1.0,2026-04-01,82.3,Low,7,U303,0
A1323,Tessera Labs Co,tesseralabs.example.com,EMEA,,Fintech,,,A1323,Tessera Labs Co,0,127745.51082903,2026-07-09,9,112.0,100.33333333333333,0.8958333333333333,10.0,2026-06-01,31.9,High,1,U302,0
A1028,Thorne Trust PLC,thornetrust.example.com,AMER,Public Sector,Insurance,,,A1028,Thorne Trust PLC,0,125032.31,2026-10-04,96,1185.0,1374.6666666666667,1.1600562587904362,3.0,2026-06-01,78.6,Low,0,U301,0
A1032,Bluewater Ventures PLC,bluewaterventures.example.com,AMER,Mid-Market,Payments,,,A1032,Bluewater Ventures PLC,0,122314.13,2026-08-21,52,48.5,64.33333333333333,1.3264604810996563,2.0,2026-06-01,65.9,Low,6,U303,0
A1378,Fairlane Bancorp LLC,fairlanebancorp.example.com,EMEA,Enterprise,Financial Services,,,A1378,Fairlane Bancorp LLC,0,122300.0,2026-10-25,117,134.5,149.66666666666666,1.1127633209417596,4.0,2026-06-01,95.2,Low,3,U304,0
A1087,Pinnacle Ventures Ltd,pinnacleventures.example.com,EMEA,Mid-Market,Crypto Native,,,A1087,Pinnacle Ventures Ltd,0,121119.45,2027-02-18,233,282.5,303.6666666666667,1.0749262536873156,7.0,2026-06-01,73.4,Low,2,U303,0
A1329,Cobalt Securities SA,cobaltsecurities.example.com,APAC,Public Sector,Payments,,,A1329,Cobalt Securities SA,0,114030.0,2027-04-24,298,147.5,134.66666666666666,0.9129943502824858,6.0,2026-06-01,62.1,Medium,2,U305,0
A1302,Lattice Bancorp LLC,latticebancorp.example.com,AMER,Mid-Market,Gaming,,,A1302,Lattice Bancorp LLC,0,110635.09869175,2027-03-27,270,111.0,113.66666666666667,1.0240240240240241,6.0,2026-06-01,56.1,Medium,3,U303,0
A1066,Halcyon Holdings Inc,halcyonholdings.example.com,AMER,Mid-Market,Gaming,,,A1066,Halcyon Holdings Inc,0,110401.64,2026-08-10,41,62.0,69.33333333333333,1.118279569892473,12.0,2026-06-01,42.6,High,3,U300,0
A1414,Redmond Systems SA,redmondsystems.example.com,AMER,Mid-Market,Government,,,A1414,Redmond Systems SA,0,110004.14,2027-03-01,244,220.0,252.66666666666666,1.1484848484848484,8.0,2026-06-01,40.7,High,1,U302,0
A1096,Dovetail Networks SA,dovetailnetworks.example.com,,Mid-Market,Consulting,,,A1096,Dovetail Networks SA,0,105350.43,2026-12-30,183,153.0,160.66666666666666,1.0501089324618735,5.0,2026-06-01,49.2,Medium,3,U302,0
A1126,Lattice Digital Ltd,latticedigital.example.com,EMEA,Mid-Market,Gaming,,,A1126,Lattice Digital Ltd,0,105300.0,2027-01-12,196,534.0,511.0,0.9569288389513109,1.0,2026-06-01,58.5,Medium,2,U304,0
A1010,Auriga Ventures SA,aurigaventures.example.com,AMER,Mid-Market,Gaming,,,A1010,Auriga Ventures SA,0,101925.52601389999,2027-02-25,240,128.0,105.0,0.8203125,10.0,2026-06-01,41.3,High,1,U305,0
A1156,Fairlane Networks PLC,fairlanenetworks.example.com,EMEA,Enterprise,Financial Services,,,A1156,Fairlane Networks PLC,0,101060.31,2026-11-20,143,75.0,80.66666666666667,1.0755555555555556,9.0,2026-06-01,64.5,Medium,4,U301,0
A1149,Bluewater Systems Pte Ltd,bluewatersystems.example.com,,SMB,Government,,,A1149,Bluewater Systems Pte Ltd,0,100152.7343714,2027-06-01,336,87.5,76.66666666666667,0.8761904761904763,4.0,2026-06-01,54.9,Medium,0,U300,0
