rate_date,currency,rate_to_usd
2024-07-20,USD,1.0
2024-07-21,USD,1.0
2024-07-22,USD,1.0
2024-07-23,USD,1.0
2024-07-24,USD,1.0
2024-07-25,USD,1.0
2024-07-26,USD,1.0
2024-07-27,USD,1.0
2024-07-28,USD,1.0
2024-07-29,USD,1.0
2024-07-30,USD,1.0
2024-07-31,USD,1.0
2024-08-01,USD,1.0
2024-08-02,USD,1.0
2024-08-03,USD,1.0
2024-08-04,USD,1.0
2024-08-05,USD,1.0
2024-08-06,USD,1.0
2024-08-07,USD,1.0
2024-08-08,USD,1.0
2024-08-09,USD,1.0
2024-08-10,USD,1.0
2024-08-11,USD,1.0
2024-08-12,USD,1.0
2024-08-13,USD,1.0
2024-08-14,USD,1.0
2024-08-15,USD,1.0
2024-08-16,USD,1.0
2024-08-17,USD,1.0
2024-08-18,USD,1.0
2024-08-19,USD,1.0
2024-08-20,USD,1.0
2024-08-21,USD,1.0
2024-08-22,USD,1.0
2024-08-23,USD,1.0
2024-08-24,USD,1.0
2024-08-25,USD,1.0
2024-08-26,USD,1.0
2024-08-27,USD,1.0
2024-08-28,USD,1.0
2024-08-29,USD,1.0
2024-08-30,USD,1.0
2024-08-31,USD,1.0
2024-09-01,USD,1.0
2024-09-02,USD,1.0
2024-09-03,USD,1.0
2024-09-04,USD,1.0
2024-09-05,USD,1.0
2024-09-06,USD,1.0
2024-09-07,USD,1.0
2024-09-08,USD,1.0
2024-09-09,USD,1.0
2024-09-10,USD,1.0
2024-09-11,USD,1.0
2024-09-12,USD,1.0
2024-09-13,USD,1.0
2024-09-14,USD,1.0
2024-09-15,USD,1.0
2024-09-16,USD,1.0
2024-09-17,USD,1.0
2024-09-18,USD,1.0
2024-09-19,USD,1.0
2024-09-20,USD,1.0
2024-09-21,USD,1.0
2024-09-22,USD,1.0
2024-09-23,USD,1.0
2024-09-24,USD,1.0
2024-09-25,USD,1.0
2024-09-26,USD,1.0
2024-09-27,USD,1.0
2024-09-28,USD,1.0
2024-09-29,USD,1.0
2024-09-30,USD,1.0
2024-10-01,USD,1.0
2024-10-02,USD,1.0
2024-10-03,USD,1.0
2024-10-04,USD,1.0
2024-10-05,USD,1.0
2024-10-06,USD,1.0
2024-10-07,USD,1.0
2024-10-08,USD,1.0
2024-10-09,USD,1.0
2024-10-10,USD,1.0
2024-10-11,USD,1.0
2024-10-12,USD,1.0
2024-10-13,USD,1.0
2024-10-14,USD,1.0
2024-10-15,USD,1.0
2024-10-16,USD,1.0
2024-10-17,USD,1.0
2024-10-18,USD,1.0
2024-10-19,USD,1.0
2024-10-20,USD,1.0
2024-10-21,USD,1.0
2024-10-22,USD,1.0
2024-10-23,USD,1.0
2024-10-24,USD,1.0
2024-10-25,USD,1.0
2024-10-26,USD,1.0
2024-10-27,USD,1.0
2024-10-28,USD,1.0
2024-10-29,USD,1.0
2024-10-30,USD,1.0
2024-10-31,USD,1.0
2024-11-01,USD,1.0
2024-11-02,USD,1.0
2024-11-03,USD,1.0
2024-11-04,USD,1.0
2024-11-05,USD,1.0
2024-11-06,USD,1.0
2024-11-07,USD,1.0
2024-11-08,USD,1.0
2024-11-09,USD,1.0
2024-11-10,USD,1.0
2024-11-11,USD,1.0
2024-11-12,USD,1.0
2024-11-13,USD,1.0
2024-11-14,USD,1.0
2024-11-15,USD,1.0
2024-11-16,USD,1.0
2024-11-17,USD,1.0
2024-11-18,USD,1.0
2024-11-19,USD,1.0
2024-11-20,USD,1.0
2024-11-21,USD,1.0
2024-11-22,USD,1.0
2024-11-23,USD,1.0
2024-11-24,USD,1.0
2024-11-25,USD,1.0
2024-11-26,USD,1.0
2024-11-27,USD,1.0
2024-11-28,USD,1.0
2024-11-29,USD,1.0
2024-11-30,USD,1.0
2024-12-01,USD,1.0
2024-12-02,USD,1.0
2024-12-03,USD,1.0
2024-12-04,USD,1.0
2024-12-05,USD,1.0
2024-12-06,USD,1.0
2024-12-07,USD,1.0
2024-12-08,USD,1.0
2024-12-09,USD,1.0
2024-12-10,USD,1.0
2024-12-11,USD,1.0
2024-12-12,USD,1.0
2024-12-13,USD,1.0
2024-12-14,USD,1.0
2024-12-15,USD,1.0
2024-12-16,USD,1.0
2024-12-17,USD,1.0
2024-12-18,USD,1.0
2024-12-19,USD,1.0
2024-12-20,USD,1.0
2024-12-21,USD,1.0
2024-12-22,USD,1.0
2024-12-23,USD,1.0
2024-12-24,USD,1.0
2024-12-25,USD,1.0
2024-12-26,USD,1.0
2024-12-27,USD,1.0
2024-12-28,USD,1.0
2024-12-29,USD,1.0
2024-12-30,USD,1.0
2024-12-31,USD,1.0
2025-01-01,USD,1.0
2025-01-02,USD,1.0
2025-01-03,USD,1.0
2025-01-04,USD,1.0
2025-01-05,USD,1.0
2025-01-06,USD,1.0
2025-01-07,USD,1.0
2025-01-08,USD,1.0
2025-01-09,USD,1.0
2025-01-10,USD,1.0
2025-01-11,USD,1.0
2025-01-12,USD,1.0
2025-01-13,USD,1.0
2025-01-14,USD,1.0
2025-01-15,USD,1.0
2025-01-16,USD,1.0
2025-01-17,USD,1.0
2025-01-18,USD,1.0
2025-01-19,USD,1.0
2025-01-20,USD,1.0
2025-01-21,USD,1.0
2025-01-22,USD,1.0
2025-01-23,USD,1.0
2025-01-24,USD,1.0
2025-01-25,USD,1.0
2025-01-26,USD,1.0
2025-01-27,USD,1.0
2025-01-28,USD,1.0
2025-01-29,USD,1.0
2025-01-30,USD,1.0
2025-01-31,USD,1.0
2025-02-01,USD,1.0
2025-02-02,USD,1.0
2025-02-03,USD,1.0
2025-02-04,USD,1.0
2025-02-05,USD,1.0
2025-02-06,USD,1.0
2025-02-07,USD,1.0
2025-02-08,USD,1.0
2025-02-09,USD,1.0
2025-02-10,USD,1.0
2025-02-11,USD,1.0
2025-02-12,USD,1.0
2025-02-13,USD,1.0
2025-02-14,USD,1.0
2025-02-15,USD,1.0
2025-02-16,USD,1.0
2025-02-17,USD,1.0
2025-02-18,USD,1.0
2025-02-19,USD,1.0
2025-02-20,USD,1.0
2025-02-21,USD,1.0
2025-02-22,USD,1.0
2025-02-23,USD,1.0
2025-02-24,USD,1.0
2025-02-25,USD,1.0
2025-02-26,USD,1.0
2025-02-27,USD,1.0
2025-02-28,USD,1.0
2025-03-01,USD,1.0
2025-03-02,USD,1.0
2025-03-03,USD,1.0
2025-03-04,USD,1.0
2025-03-05,USD,1.0
2025-03-06,USD,1.0
2025-03-07,USD,1.0
2025-03-08,USD,1.0
2025-03-09,USD,1.0
2025-03-10,USD,1.0
2025-03-11,USD,1.0
2025-03-12,USD,1.0
2025-03-13,USD,1.0
2025-03-14,USD,1.0
2025-03-15,USD,1.0
2025-03-16,USD,1.0
2025-03-17,USD,1.0
2025-03-18,USD,1.0
2025-03-19,USD,1.0
2025-03-20,USD,1.0
2025-03-21,USD,1.0
2025-03-22,USD,1.0
2025-03-23,USD,1.0
2025-03-24,USD,1.0
2025-03-25,USD,1.0
2025-03-26,USD,1.0
2025-03-27,USD,1.0
2025-03-28,USD,1.0
2025-03-29,USD,1.0
2025-03-30,USD,1.0
2025-03-31,USD,1.0
2025-04-01,USD,1.0
2025-04-02,USD,1.0
2025-04-03,USD,1.0
2025-04-04,USD,1.0
2025-04-05,USD,1.0
2025-04-06,USD,1.0
2025-04-07,USD,1.0
2025-04-08,USD,1.0
2025-04-09,USD,1.0
2025-04-10,USD,1.0
2025-04-11,USD,1.0
2025-04-12,USD,1.0
2025-04-13,USD,1.0
2025-04-14,USD,1.0
2025-04-15,USD,1.0
2025-04-16,USD,1.0
2025-04-17,USD,1.0
2025-04-18,USD,1.0
2025-04-19,USD,1.0
2025-04-20,USD,1.0
2025-04-21,USD,1.0
2025-04-22,USD,1.0
2025-04-23,USD,1.0
2025-04-24,USD,1.0
2025-04-25,USD,1.0
2025-04-26,USD,1.0
2025-04-27,USD,1.0
2025-04-28,USD,1.0
2025-04-29,USD,1.0
2025-04-30,USD,1.0
2025-05-01,USD,1.0
2025-05-02,USD,1.0
2025-05-03,USD,1.0
2025-05-04,USD,1.0
2025-05-05,USD,1.0
2025-05-06,USD,1.0
2025-05-07,USD,1.0
2025-05-08,USD,1.0
2025-05-09,USD,1.0
2025-05-10,USD,1.0
2025-05-11,USD,1.0
2025-05-12,USD,1.0
2025-05-13,USD,1.0
2025-05-14,USD,1.0
2025-05-15,USD,1.0
2025-05-16,USD,1.0
2025-05-17,USD,1.0
2025-05-18,USD,1.0
2025-05-19,USD,1.0
2025-05-20,USD,1.0
2025-05-21,USD,1.0
2025-05-22,USD,1.0
2025-05-23,USD,1.0
2025-05-24,USD,1.0
2025-05-25,USD,1.0
2025-05-26,USD,1.0
2025-05-27,USD,1.0
2025-05-28,USD,1.0
2025-05-29,USD,1.0
2025-05-30,USD,1.0
2025-05-31,USD,1.0
2025-06-01,USD,1.0
2025-06-02,USD,1.0
2025-06-03,USD,1.0
2025-06-04,USD,1.0
2025-06-05,USD,1.0
2025-06-06,USD,1.0
2025-06-07,USD,1.0
2025-06-08,USD,1.0
2025-06-09,USD,1.0
2025-06-10,USD,1.0
2025-06-11,USD,1.0
2025-06-12,USD,1.0
2025-06-13,USD,1.0
2025-06-14,USD,1.0
2025-06-15,USD,1.0
2025-06-16,USD,1.0
2025-06-17,USD,1.0
2025-06-18,USD,1.0
2025-06-19,USD,1.0
2025-06-20,USD,1.0
2025-06-21,USD,1.0
2025-06-22,USD,1.0
2025-06-23,USD,1.0
2025-06-24,USD,1.0
2025-06-25,USD,1.0
2025-06-26,USD,1.0
2025-06-27,USD,1.0
2025-06-28,USD,1.0
2025-06-29,USD,1.0
2025-06-30,USD,1.0
2025-07-01,USD,1.0
2025-07-02,USD,1.0
2025-07-03,USD,1.0
2025-07-04,USD,1.0
2025-07-05,USD,1.0
2025-07-06,USD,1.0
2025-07-07,USD,1.0
2025-07-08,USD,1.0
2025-07-09,USD,1.0
2025-07-10,USD,1.0
2025-07-11,USD,1.0
2025-07-12,USD,1.0
2025-07-13,USD,1.0
2025-07-14,USD,1.0
2025-07-15,USD,1.0
2025-07-16,USD,1.0
2025-07-17,USD,1.0
2025-07-18,USD,1.0
2025-07-19,USD,1.0
2025-07-20,USD,1.0
2025-07-21,USD,1.0
2025-07-22,USD,1.0
2025-07-23,USD,1.0
2025-07-24,USD,1.0
2025-07-25,USD,1.0
2025-07-26,USD,1.0
2025-07-27,USD,1.0
2025-07-28,USD,1.0
2025-07-29,USD,1.0
2025-07-30,USD,1.0
2025-07-31,USD,1.0
2025-08-01,USD,1.0
2025-08-02,USD,1.0
2025-08-03,USD,1.0
2025-08-04,USD,1.0
2025-08-05,USD,1.0
2025-08-06,USD,1.0
2025-08-07,USD,1.0
2025-08-08,USD,1.0
2025-08-09,USD,1.0
2025-08-10,USD,1.0
2025-08-11,USD,1.0
2025-08-12,USD,1.0
2025-08-13,USD,1.0
2025-08-14,USD,1.0
2025-08-15,USD,1.0
2025-08-16,USD,1.0
2025-08-17,USD,1.0
2025-08-18,USD,1.0
2025-08-19,USD,1.0
2025-08-20,USD,1.0
2025-08-21,USD,1.0
2025-08-22,USD,1.0
2025-08-23,USD,1.0
2025-08-24,USD,1.0
2025-08-25,USD,1.0
2025-08-26,USD,1.0
2025-08-27,USD,1.0
2025-08-28,USD,1.0
2025-08-29,USD,1.0
2025-08-30,USD,1.0
2025-08-31,USD,1.0
2025-09-01,USD,1.0
2025-09-02,USD,1.0
2025-09-03,USD,1.0
2025-09-04,USD,1.0
2025-09-05,USD,1.0
2025-09-06,USD,1.0
2025-09-07,USD,1.0
2025-09-08,USD,1.0
2025-09-09,USD,1.0
2025-09-10,USD,1.0
2025-09-11,USD,1.0
2025-09-12,USD,1.0
2025-09-13,USD,1.0
2025-09-14,USD,1.0
2025-09-15,USD,1.0
2025-09-16,USD,1.0
2025-09-17,USD,1.0
2025-09-18,USD,1.0
2025-09-19,USD,1.0
2025-09-20,USD,1.0
2025-09-21,USD,1.0
2025-09-22,USD,1.0
2025-09-23,USD,1.0
2025-09-24,USD,1.0
2025-09-25,USD,1.0
2025-09-26,USD,1.0
2025-09-27,USD,1.0
2025-09-28,USD,1.0
2025-09-29,USD,1.0
2025-09-30,USD,1.0
2025-10-01,USD,1.0
2025-10-02,USD,1.0
2025-10-03,USD,1.0
2025-10-04,USD,1.0
2025-10-05,USD,1.0
2025-10-06,USD,1.0
2025-10-07,USD,1.0
2025-10-08,USD,1.0
2025-10-09,USD,1.0
2025-10-10,USD,1.0
2025-10-11,USD,1.0
2025-10-12,USD,1.0
2025-10-13,USD,1.0
2025-10-14,USD,1.0
2025-10-15,USD,1.0
2025-10-16,USD,1.0
2025-10-17,USD,1.0
2025-10-18,USD,1.0
2025-10-19,USD,1.0
2025-10-20,USD,1.0
2025-10-21,USD,1.0
2025-10-22,USD,1.0
2025-10-23,USD,1.0
2025-10-24,USD,1.0
2025-10-25,USD,1.0
2025-10-26,USD,1.0
2025-10-27,USD,1.0
2025-10-28,USD,1.0
2025-10-29,USD,1.0
2025-10-30,USD,1.0
2025-10-31,USD,1.0
2025-11-01,USD,1.0
2025-11-02,USD,1.0
2025-11-03,USD,1.0
2025-11-04,USD,1.0
2025-11-05,USD,1.0
2025-11-06,USD,1.0
2025-11-07,USD,1.0
2025-11-08,USD,1.0
2025-11-09,USD,1.0
2025-11-10,USD,1.0
2025-11-11,USD,1.0
2025-11-12,USD,1.0
2025-11-13,USD,1.0
2025-11-14,USD,1.0
2025-11-15,USD,1.0
2025-11-16,USD,1.0
2025-11-17,USD,1.0
2025-11-18,USD,1.0
2025-11-19,USD,1.0
2025-11-20,USD,1.0
2025-11-21,USD,1.0
2025-11-22,USD,1.0
2025-11-23,USD,1.0
2025-11-24,USD,1.0
2025-11-25,USD,1.0
2025-11-26,USD,1.0
2025-11-27,USD,1.0
2025-11-28,USD,1.0
2025-11-29,USD,1.0
2025-11-30,USD,1.0
2025-12-01,USD,1.0
2025-12-02,USD,1.0
2025-12-03,USD,1.0
2025-12-04,USD,1.0
2025-12-05,USD,1.0
2025-12-06,USD,1.0
2025-12-07,USD,1.0
2025-12-08,USD,1.0
2025-12-09,USD,1.0
2025-12-10,USD,1.0
2025-12-11,USD,1.0
2025-12-12,USD,1.0
2025-12-13,USD,1.0
2025-12-14,USD,1.0
2025-12-15,USD,1.0
2025-12-16,USD,1.0
2025-12-17,USD,1.0
2025-12-18,USD,1.0
2025-12-19,USD,1.0
2025-12-20,USD,1.0
2025-12-21,USD,1.0
2025-12-22,USD,1.0
2025-12-23,USD,1.0
2025-12-24,USD,1.0
2025-12-25,USD,1.0
2025-12-26,USD,1.0
2025-12-27,USD,1.0
2025-12-28,USD,1.0
2025-12-29,USD,1.0
2025-12-30,USD,1.0
2025-12-31,USD,1.0
2026-01-01,USD,1.0
2026-01-02,USD,1.0
2026-01-03,USD,1.0
2026-01-04,USD,1.0
2026-01-05,USD,1.0
2026-01-06,USD,1.0
2026-01-07,USD,1.0
2026-01-08,USD,1.0
2026-01-09,USD,1.0
2026-01-10,USD,1.0
2026-01-11,USD,1.0
2026-01-12,USD,1.0
2026-01-13,USD,1.0
2026-01-14,USD,1.0
2026-01-15,USD,1.0
2026-01-16,USD,1.0
2026-01-17,USD,1.0
2026-01-18,USD,1.0
2026-01-19,USD,1.0
2026-01-20,USD,1.0
2026-01-21,USD,1.0
2026-01-22,USD,1.0
2026-01-23,USD,1.0
2026-01-24,USD,1.0
2026-01-25,USD,1.0
2026-01-26,USD,1.0
2026-01-27,USD,1.0
2026-01-28,USD,1.0
2026-01-29,USD,1.0
2026-01-30,USD,1.0
2026-01-31,USD,1.0
2026-02-01,USD,1.0
2026-02-02,USD,1.0
2026-02-03,USD,1.0
2026-02-04,USD,1.0
2026-02-05,USD,1.0
2026-02-06,USD,1.0
2026-02-07,USD,1.0
2026-02-08,USD,1.0
2026-02-09,USD,1.0
2026-02-10,USD,1.0
2026-02-11,USD,1.0
2026-02-12,USD,1.0
2026-02-13,USD,1.0
2026-02-14,USD,1.0
2026-02-15,USD,1.0
2026-02-16,USD,1.0
2026-02-17,USD,1.0
2026-02-18,USD,1.0
2026-02-19,USD,1.0
2026-02-20,USD,1.0
2026-02-21,USD,1.0
2026-02-22,USD,1.0
2026-02-23,USD,1.0
2026-02-24,USD,1.0
2026-02-25,USD,1.0
2026-02-26,USD,1.0
2026-02-27,USD,1.0
2026-02-28,USD,1.0
2026-03-01,USD,1.0
2026-03-02,USD,1.0
2026-03-03,USD,1.0
2026-03-04,USD,1.0
2026-03-05,USD,1.0
2026-03-06,USD,1.0
2026-03-07,USD,1.0
2026-03-08,USD,1.0
2026-03-09,USD,1.0
2026-03-10,USD,1.0
2026-03-11,USD,1.0
2026-03-12,USD,1.0
2026-03-13,USD,1.0
2026-03-14,USD,1.0
2026-03-15,USD,1.0
2026-03-16,USD,1.0
2026-03-17,USD,1.0
2026-03-18,USD,1.0
2026-03-19,USD,1.0
2026-03-20,USD,1.0
2026-03-21,USD,1.0
2026-03-22,USD,1.0
2026-03-23,USD,1.0
2026-03-24,USD,1.0
2026-03-25,USD,1.0
2026-03-26,USD,1.0
2026-03-27,USD,1.0
2026-03-28,USD,1.0
2026-03-29,USD,1.0
2026-03-30,USD,1.0
2026-03-31,USD,1.0
2026-04-01,USD,1.0
2026-04-02,USD,1.0
2026-04-03,USD,1.0
2026-04-04,USD,1.0
2026-04-05,USD,1.0
2026-04-06,USD,1.0
2026-04-07,USD,1.0
2026-04-08,USD,1.0
2026-04-09,USD,1.0
2026-04-10,USD,1.0
2026-04-11,USD,1.0
2026-04-12,USD,1.0
2026-04-13,USD,1.0
2026-04-14,USD,1.0
2026-04-15,USD,1.0
2026-04-16,USD,1.0
2026-04-17,USD,1.0
2026-04-18,USD,1.0
2026-04-19,USD,1.0
2026-04-20,USD,1.0
2026-04-21,USD,1.0
2026-04-22,USD,1.0
2026-04-23,USD,1.0
2026-04-24,USD,1.0
2026-04-25,USD,1.0
2026-04-26,USD,1.0
2026-04-27,USD,1.0
2026-04-28,USD,1.0
2026-04-29,USD,1.0
2026-04-30,USD,1.0
2026-05-01,USD,1.0
2026-05-02,USD,1.0
2026-05-03,USD,1.0
2026-05-04,USD,1.0
2026-05-05,USD,1.0
2026-05-06,USD,1.0
2026-05-07,USD,1.0
2026-05-08,USD,1.0
2026-05-09,USD,1.0
2026-05-10,USD,1.0
2026-05-11,USD,1.0
2026-05-12,USD,1.0
2026-05-13,USD,1.0
2026-05-14,USD,1.0
2026-05-15,USD,1.0
2026-05-16,USD,1.0
2026-05-17,USD,1.0
2026-05-18,USD,1.0
2026-05-19,USD,1.0
2026-05-20,USD,1.0
2026-05-21,USD,1.0
2026-05-22,USD,1.0
2026-05-23,USD,1.0
2026-05-24,USD,1.0
2026-05-25,USD,1.0
2026-05-26,USD,1.0
2026-05-27,USD,1.0
2026-05-28,USD,1.0
2026-05-29,USD,1.0
2026-05-30,USD,1.0
2026-05-31,USD,1.0
2026-06-01,USD,1.0
2026-06-02,USD,1.0
2026-06-03,USD,1.0
2026-06-04,USD,1.0
2026-06-05,USD,1.0
2026-06-06,USD,1.0
2026-06-07,USD,1.0
2026-06-08,USD,1.0
2026-06-09,USD,1.0
2026-06-10,USD,1.0
2026-06-11,USD,1.0
2026-06-12,USD,1.0
2026-06-13,USD,1.0
2026-06-14,USD,1.0
2026-06-15,USD,1.0
2026-06-16,USD,1.0
2026-06-17,USD,1.0
2026-06-18,USD,1.0
2026-06-19,USD,1.0
2026-06-20,USD,1.0
2026-06-21,USD,1.0
2026-06-22,USD,1.0
2026-06-23,USD,1.0
2026-06-24,USD,1.0
2026-06-25,USD,1.0
2026-06-26,USD,1.0
2026-06-27,USD,1.0
2026-06-28,USD,1.0
2026-06-29,USD,1.0
2026-06-30,USD,1.0
2026-07-01,USD,1.0
2024-01-01,EUR,1.086272
2024-01-02,EUR,1.091982
2024-01-03,EUR,1.09228
2024-01-04,EUR,1.091088
2024-01-05,EUR,1.095086
2024-01-06,EUR,1.09742
2024-01-07,EUR,1.090151
2024-01-08,EUR,1.08964
2024-01-09,EUR,1.096516
2024-01-10,EUR,1.097682
2024-01-11,EUR,1.105815
2024-01-12,EUR,1.095531
2024-01-13,EUR,1.097665
2024-01-14,EUR,1.09372
2024-01-15,EUR,1.091118
2024-01-16,EUR,1.092895
2024-01-17,EUR,1.093733
2024-01-18,EUR,1.090341
2024-01-19,EUR,1.095004
2024-01-20,EUR,1.097283
2024-01-21,EUR,1.093516
2024-01-22,EUR,1.091895
2024-01-23,EUR,1.095042
2024-01-24,EUR,1.09747
2024-01-25,EUR,1.096774
2024-01-26,EUR,1.094655
2024-01-27,EUR,1.089636
2024-01-28,EUR,1.088126
2024-01-29,EUR,1.085502
2024-01-30,EUR,1.086091
2024-01-31,EUR,1.083941
2024-02-01,EUR,1.087164
2024-02-02,EUR,1.086784
2024-02-03,EUR,1.086326
2024-02-04,EUR,1.086482
2024-02-05,EUR,1.089821
2024-02-06,EUR,1.088775
2024-02-07,EUR,1.089836
2024-02-08,EUR,1.090417
2024-02-09,EUR,1.093892
2024-02-10,EUR,1.090539
2024-02-11,EUR,1.092333
2024-02-12,EUR,1.09415
2024-02-13,EUR,1.090419
2024-02-14,EUR,1.084128
2024-02-15,EUR,1.083359
2024-02-16,EUR,1.079025
2024-02-17,EUR,1.073064
2024-02-18,EUR,1.076399
2024-02-19,EUR,1.082645
2024-02-20,EUR,1.076717
2024-02-21,EUR,1.078265
2024-02-22,EUR,1.068758
2024-02-23,EUR,1.065353
2024-02-24,EUR,1.067088
2024-02-25,EUR,1.066698
2024-02-26,EUR,1.065016
2024-02-27,EUR,1.068982
2024-02-28,EUR,1.070596
2024-02-29,EUR,1.072531
2024-03-01,EUR,1.075256
2024-03-02,EUR,1.074365
2024-03-03,EUR,1.079507
2024-03-04,EUR,1.075336
2024-03-05,EUR,1.074038
2024-03-06,EUR,1.07703
2024-03-07,EUR,1.074022
2024-03-08,EUR,1.075174
2024-03-09,EUR,1.076542
2024-03-10,EUR,1.073437
2024-03-11,EUR,1.080968
2024-03-12,EUR,1.084383
2024-03-13,EUR,1.085366
2024-03-14,EUR,1.085886
