opportunity_id,account_id,opportunity_name,owner_user_id,opportunity_type,amount,currency,created_date,close_date,stage_name,is_closed,is_won,forecast_category,lead_source
O10541,A1091,Sable Group Inc - Renewal,U211,Renewal,282900.0,EUR,2024-09-27,2025-02-16,5-Closed Won,True,True,Closed,Outbound
O11201,A1225,Fairlane Ventures Pte Ltd - New Business,U203,New Business,10400.0,USD,2025-07-10,2025-08-02,5-Closed Won,True,True,Closed,Outbound
O11840,A1021,Pinnacle Trust SA - Renewal,U209,Renewal,9700.0,BRL,2025-07-24,2025-10-08,5-Closed Won,True,True,Closed,Event
O11071,A1197,Sable Group Pte Ltd - Renewal,U215,Renewal,221400.0,USD,2024-02-14,2024-07-12,6-Closed Lost,True,False,Closed,Partner
O12585,A1370,Beltway Capital GmbH - New Business,U220,New Business,4700.0,USD,2025-04-23,2025-05-02,6-Closed Lost,True,False,Closed,Event
O99008,A1363,Riverbend Bancorp LLC - Expansion,U223,Expansion,24906.0,EUR,2024-03-01,2024-04-21,5-Closed Won,True,True,Closed,Event
O10626,A1050,Solstice Bancorp SA - New Business,U215,New Business,56500.0,EUR,2025-09-17,2025-11-27,5-Closed Won,True,True,Closed,Inbound
O10341,A1363,Riverbend Bancorp LLC - Expansion,U223,Expansion,42504.0,EUR,2024-04-21,2024-07-09,6-Closed Lost,True,False,Closed,Inbound
O12562,A1322,Orbit Labs Inc - Renewal,U214,Renewal,39400.0,USD,2025-04-06,2025-09-14,5-Closed Won,True,True,Closed,Inbound
O12261,A1335,Quarry Financial Co - New Business,U213,New Business,159700.0,USD,2024-04-04,2024-07-09,5-Closed Won,True,True,Closed,Inbound
O11111,A1186,Sable Ventures GmbH - Renewal,U206,Renewal,3400.0,USD,2024-12-20,2025-01-29,6-Closed Lost,True,False,Closed,Partner
O11812,A1040,Lattice Holdings Pte Ltd - Expansion,U219,Expansion,33138.0,USD,2024-01-23,2024-04-27,5-Closed Won,True,True,Closed,Partner
O11302,A1398,Dovetail Labs Inc - Renewal,U201,Renewal,19400.0,EUR,2025-11-17,2025-11-26,5-Closed Won,True,True,Closed,Outbound
O11044,A1302,Lattice Bancorp LLC - Expansion,U220,Expansion,19572.0,EUR,2025-02-13,2025-03-27,5-Closed Won,True,True,Closed,Outbound
O10358,A1073,Tessera Securities SA - Renewal,U213,Renewal,87700.0,SGD,2024-12-05,2025-02-13,5-Closed Won,True,True,Closed,Inbound
O11728,A1137,Lumen Digital Inc - New Business,U217,New Business,204800.0,USD,2024-02-24,2024-07-17,6-Closed Lost,True,False,Closed,Event
O11363,A1028,Thorne Trust PLC - New Business,U205,New Business,331000.0,USD,2024-07-16,2025-03-06,6-Closed Lost,True,False,Closed,Partner
O10763,A1168,Keystone Labs PLC - Renewal,U200,Renewal,65500.0,USD,2025-12-02,2026-02-04,5-Closed Won,True,True,Closed,Outbound
O12309,A1357,Thorne Digital LLC - Renewal,U220,Renewal,151000.0,GBP,2024-06-17,2024-09-29,5-Closed Won,True,True,Closed,Outbound
O11187,A1165,Norsk Payments GmbH - Expansion,U209,Expansion,106134.0,USD,2025-01-31,2025-06-11,6-Closed Lost,True,False,Closed,Outbound
O11314,A1262,Eastgate Partners Ltd - Renewal,U217,Renewal,19800.0,USD,2026-04-25,2026-05-14,5-Closed Won,True,True,Closed,Referral
O10210,A1144,Auriga Exchange Inc - Renewal,U212,Renewal,12300.0,USD,2024-03-19,2024-05-16,5-Closed Won,True,True,Closed,Inbound
O10225,A1080,Keystone Networks GmbH - Renewal,U223,Renewal,209900.0,USD,2025-06-30,2025-10-23,5-Closed Won,True,True,Closed,Referral
O11736,A1052,Norsk Advisors Co - New Business,U206,New Business,75800.0,USD,2024-10-03,2024-12-13,5-Closed Won,True,True,Closed,Event
O12303,A1245,Quarry Exchange LLC - Renewal,U205,Renewal,8000.0,EUR,2026-05-18,2026-07-09,1-Discovery,False,False,Pipeline,Outbound
O11138,A1116,Eastgate Securities PLC - New Business,U207,New Business,35200.0,EUR,2025-05-23,2025-08-22,6-Closed Lost,True,False,Closed,Inbound
O10832,A1378,Fairlane Bancorp LLC - Renewal,U215,Renewal,87400.0,USD,2025-05-24,2025-09-11,5-Closed Won,True,True,Closed,Event
O10185,A1338,Tessera Group Inc - Renewal,U217,Renewal,234100.0,EUR,2024-05-05,2024-10-04,6-Closed Lost,True,False,Closed,Inbound
O10033,A1171,Inlet Exchange LLC - Expansion,U206,Expansion,32004.0,USD,2026-04-16,2026-06-11,5-Closed Won,True,True,Closed,Referral
O10286,A1339,Northwind Payments LLC - Expansion,U217,Expansion,7560.0,GBP,2025-10-04,2025-11-21,6-Closed Lost,True,False,Closed,Outbound
O10892,A1322,Orbit Labs Inc - Expansion,U214,Expansion,25452.0,USD,2024-07-06,2024-09-21,6-Closed Lost,True,False,Closed,Referral
O11668,A1308,Caldera Partners Ltd - Renewal,U215,Renewal,111700.0,BRL,2025-12-24,2026-03-03,5-Closed Won,True,True,Closed,Referral
O11372,A1065,Quarry Payments Inc - Renewal,U210,Renewal,47500.0,EUR,2025-08-18,2025-11-08,5-Closed Won,True,True,Closed,Inbound
O12153,A1333,Ironclad Digital Co - New Business,U203,New Business,12600.0,USD,2024-07-15,2024-10-19,6-Closed Lost,True,False,Closed,Inbound
O10121,A1099,Ardent Digital Ltd - New Business,U204,New Business,228400.0,EUR,2025-01-10,2025-06-30,6-Closed Lost,True,False,Closed,Event
O11149,A1356,Eastgate Bancorp Ltd - Renewal,U208,Renewal,316000.0,BRL,2025-01-27,2025-06-25,5-Closed Won,True,True,Closed,Referral
O10098,A1391,Auriga Labs PLC - Renewal,U205,Renewal,130900.0,SGD,2025-04-26,2025-09-15,5-Closed Won,True,True,Closed,Outbound
O12123,A1158,Auriga Labs Ltd - Expansion,U213,Expansion,5418.0,USD,2024-05-06,2024-05-15,6-Closed Lost,True,False,Closed,Event
O10441,A1281,Norsk Trust Pte Ltd - Renewal,U211,Renewal,397100.0,BRL,2025-03-06,2025-09-07,5-Closed Won,True,True,Closed,Referral
O10271,A1389,Inlet Partners Inc - Expansion,U218,Expansion,10626.0,USD,2024-06-19,2024-10-05,6-Closed Lost,True,False,Closed,Partner
O10475,A1286,Cobalt Group Ltd - Renewal,U206,Renewal,57200.0,USD,2024-03-20,2024-05-08,5-Closed Won,True,True,Closed,Referral
O10378,A1236,Marrow Custody GmbH - Renewal,U211,Renewal,9500.0,USD,2024-04-30,2024-05-09,5-Closed Won,True,True,Closed,Referral
O10481,A1050,Solstice Bancorp SA - New Business,U215,New Business,96500.0,EUR,2026-02-26,2026-06-30,6-Closed Lost,True,False,Closed,Event
O11381,A1153,Stanhope Labs Co - Renewal,U215,Renewal,132200.0,GBP,2025-05-12,2025-07-03,5-Closed Won,True,True,Closed,Inbound
O11713,A1332,Pinnacle Capital Co - New Business,U203,New Business,201200.0,USD,2024-06-10,2024-09-22,6-Closed Lost,True,False,Closed,Outbound
O11933,A1094,Solstice Networks LLC - New Business,U206,New Business,135200.0,USD,2025-08-09,2025-11-29,6-Closed Lost,True,False,Closed,Event
O11161,A1280,Lumen Advisors PLC - New Business,U201,New Business,54500.0,SGD,2024-03-20,2024-08-04,6-Closed Lost,True,False,Closed,Event
O11956,A1280,Lumen Advisors PLC - Renewal,U201,Renewal,187800.0,SGD,2025-09-21,2026-02-03,6-Closed Lost,True,False,Closed,Outbound
O11040,A1097,Redmond Networks PLC - Renewal,U223,Renewal,6100.0,USD,2024-01-28,2023-12-22,5-Closed Won,True,True,Closed,Event
O10833,A1127,Palisade Partners PLC - Renewal,U223,Renewal,246700.0,EUR,2025-06-19,2025-09-21,5-Closed Won,True,True,Closed,Inbound
O10085,A1360,Tessera Bancorp Ltd - Renewal,U209,Renewal,56600.0,USD,2025-10-17,2026-03-10,5-Closed Won,True,True,Closed,Event
O10851,A1013,Tessera Financial Inc - New Business,U220,New Business,245900.0,BRL,2024-02-02,2024-06-14,6-Closed Lost,True,False,Closed,Outbound
O10283,A1041,Tessera Partners Inc - Renewal,U222,Renewal,14600.0,USD,2026-04-05,2026-05-24,6-Closed Lost,True,False,Closed,Outbound
O10080,A1048,Umbra Labs LLC - Renewal,U214,Renewal,39000.0,USD,2024-06-04,2024-08-03,5-Closed Won,True,True,Closed,Partner
O10398,A1083,Tessera Networks PLC - Expansion,U205,Expansion,6090.0,USD,2026-04-09,2026-06-05,5-Closed Won,True,True,Closed,Partner
O12031,A1329,Cobalt Securities SA - Expansion,U203,Expansion,114030.0,USD,2025-01-04,2025-04-24,5-Closed Won,True,True,Closed,Inbound
O11268,A1272,Orbit Networks Inc - Expansion,U217,Expansion,8316.0,USD,2025-07-16,2025-07-25,5-Closed Won,True,True,Closed,Inbound
O11458,A1201,Westford Financial Co - New Business,U220,New Business,7700.0,EUR,2025-07-05,2025-07-14,5-Closed Won,True,True,Closed,Outbound
O10793,A1248,Keystone Trust Inc - New Business,U217,New Business,121700.0,USD,2024-12-06,2025-04-09,6-Closed Lost,True,False,Closed,Partner
O10133,A1316,Pinnacle Payments PLC - New Business,U222,New Business,28700.0,USD,2025-08-05,2025-11-20,6-Closed Lost,True,False,Closed,Inbound
O10996,A1393,Stanhope Group Co - New Business,U217,New Business,43800.0,USD,2025-07-14,2025-08-30,6-Closed Lost,True,False,Closed,Outbound
O11866,A1315,Tessera Partners LLC - New Business,U204,New Business,77500.0,USD,2025-11-27,2026-03-28,6-Closed Lost,True,False,Closed,Outbound
O10284,A1166,Kestrel Bancorp Inc - New Business,U215,New Business,169700.0,GBP,2024-09-17,2025-05-06,5-Closed Won,True,True,Closed,Inbound
O11799,A1009,Harrow Advisors SA - New Business,U213,New Business,384000.0,USD,2024-08-06,2025-01-13,6-Closed Lost,True,False,Closed,Inbound
O10371,A1067,Quarry Custody SA - New Business,U220,New Business,35200.0,USD,2024-01-27,2024-02-14,5-Closed Won,True,True,Closed,Inbound
O11023,A1259,Dovetail Trust SA - Renewal,U200,Renewal,172800.0,USD,2026-02-04,2026-08-26,4-Negotiation,False,False,Pipeline,Event
O11477,A1312,Quarry Trust SA - Renewal,U204,Renewal,93000.0,EUR,2025-10-27,2026-01-19,5-Closed Won,True,True,Closed,Outbound
O11616,A1147,Westford Advisors LLC - Expansion,U223,Expansion,5208.0,EUR,2024-03-22,2024-06-14,5-Closed Won,True,True,Closed,Outbound
O11440,A1125,Sable Group SA - New Business,U213,New Business,57500.0,USD,2025-12-09,2026-03-20,6-Closed Lost,True,False,Closed,Outbound
O98045,A9504,Thorne Partners SA - New Business,U204,New Business,411600.0,USD,2026-03-14,2026-07-15,1-Discovery,False,False,Commit,Outbound
O10447,A1194,Riverbend Holdings Ltd - New Business,U217,New Business,101400.0,USD,2024-11-14,2025-02-08,6-Closed Lost,True,False,Closed,Outbound
O12001,A1209,Meridian Payments Inc - Expansion,U216,Expansion,53172.0,GBP,2026-02-22,2026-04-30,5-Closed Won,True,True,Closed,Event
O12177,A1147,Westford Advisors LLC - Renewal,U223,Renewal,13900.0,EUR,2025-05-23,2025-06-10,5-Closed Won,True,True,Closed,Event
O11836,A1052,Norsk Advisors Co - New Business,U206,New Business,64000.0,USD,2026-03-09,2026-04-29,5-Closed Won,True,True,Closed,Outbound
O12441,A1353,Halcyon Ventures Inc - Renewal,U207,Renewal,262200.0,GBP,2025-08-02,2026-02-07,6-Closed Lost,True,False,Closed,Inbound
O10852,A1182,Marrow Group Co - New Business,U203,New Business,248300.0,USD,2024-06-23,2024-11-23,6-Closed Lost,True,False,Closed,Inbound
O12493,A1211,Norsk Financial LLC - Expansion,U207,Expansion,3738.0,BRL,2025-01-05,2025-01-14,5-Closed Won,True,True,Closed,Inbound
O10236,A1233,Bluewater Securities Ltd - Expansion,U214,Expansion,15078.0,USD,2025-12-10,2026-02-07,6-Closed Lost,True,False,Closed,Outbound
O11868,A1326,Beltway Payments Inc - Expansion,U207,Expansion,51408.0,USD,2026-05-18,2026-09-05,2-Qualified,False,False,Pipeline,Outbound
O10528,A1248,Keystone Trust Inc - Expansion,U217,Expansion,97314.0,USD,2025-05-11,2025-10-19,5-Closed Won,True,True,Closed,Event
O10976,A1026,Gilder Ventures LLC - New Business,U208,New Business,29900.0,USD,2026-05-04,2026-06-29,6-Closed Lost,True,False,Closed,Event
O10039,A1052,Norsk Advisors Co - Renewal,U206,Renewal,101600.0,USD,2026-05-26,2026-08-13,1-Discovery,False,False,Best Case,Inbound
O11248,A1051,Bluewater Systems Ltd - New Business,U202,New Business,37400.0,USD,2024-06-16,2024-07-25,6-Closed Lost,True,False,Closed,Partner
O12548,A1331,Sable Capital Co - New Business,U212,New Business,19000.0,BRL,2026-02-02,2026-02-25,6-Closed Lost,True,False,Closed,Inbound
O98018,A9502,Sable Ventures GmbH - New Business,U206,New Business,4800.0,USD,2026-02-18,2026-03-29,6-Closed Lost,True,False,Closed,Outbound
O12249,A1061,Lattice Securities Inc - Expansion,U206,Expansion,9282.0,USD,2025-05-02,2025-05-16,6-Closed Lost,True,False,Closed,Partner
O11881,A1399,Westford Advisors Ltd - New Business,U206,New Business,10200.0,USD,2026-05-25,2026-06-30,5-Closed Won,True,True,Closed,Referral
O11087,A1001,Fairlane Exchange SA - New Business,U220,New Business,41600.0,USD,2025-06-06,2025-10-21,6-Closed Lost,True,False,Closed,Inbound
O12228,A1165,Norsk Payments GmbH - Renewal,U209,Renewal,296900.0,USD,2025-06-16,2025-12-16,6-Closed Lost,True,False,Closed,Referral
O10917,A1179,Thorne Partners SA - Renewal,U204,Renewal,290500.0,USD,2024-04-16,2024-09-08,5-Closed Won,True,True,Closed,Inbound
O11879,A1368,Lumen Labs SA - Renewal,U201,Renewal,261900.0,USD,2025-12-02,2026-02-23,5-Closed Won,True,True,Closed,Partner
O11853,A1195,Auriga Securities Inc - Expansion,U211,Expansion,44814.0,USD,2025-11-25,2026-04-17,5-Closed Won,True,True,Closed,Inbound
O98030,A9005,Tessera Networks Inc - Expansion,U223,Expansion,126000.0,GBP,2026-03-18,2026-08-03,2-Qualified,False,False,Pipeline,Inbound
O10273,A1131,Norsk Holdings GmbH - Expansion,U207,Expansion,56952.0,USD,2025-12-01,2026-03-23,5-Closed Won,True,True,Closed,Referral
O10449,A1236,Marrow Custody GmbH - New Business,U211,New Business,36700.0,USD,2024-01-25,2024-02-12,6-Closed Lost,True,False,Closed,Outbound
O11236,A1319,Fairlane Securities PLC - New Business,U201,New Business,269100.0,USD,2026-04-05,2026-07-30,2-Qualified,False,False,Pipeline,Referral
O10505,A1005,Auriga Systems Co - Expansion,U205,Expansion,16506.0,USD,2025-05-04,2025-07-10,5-Closed Won,True,True,Closed,Outbound
O12509,A1098,Inlet Custody SA - Renewal,U223,Renewal,173100.0,USD,2024-12-28,2025-07-23,5-Closed Won,True,True,Closed,Inbound
O10959,A1400,Stanhope Networks Ltd - New Business,U201,New Business,280500.0,USD,2025-11-28,2026-03-15,5-Closed Won,True,True,Closed,Referral
O11576,A1294,Sable Payments SA - New Business,U208,New Business,125100.0,EUR,2024-07-10,2024-11-02,6-Closed Lost,True,False,Closed,Event
O11540,A1338,Tessera Group Inc - New Business,U217,New Business,411400.0,EUR,2025-03-13,2025-09-13,6-Closed Lost,True,False,Closed,Outbound
O10261,A1416,Umbra Bancorp GmbH - Renewal,U203,Renewal,89400.0,SGD,2024-07-10,2024-08-21,5-Closed Won,True,True,Closed,Inbound
O12097,A1408,Ironclad Networks PLC - New Business,U223,New Business,12800.0,GBP,2024-04-21,2024-06-04,6-Closed Lost,True,False,Closed,Outbound
O11734,A1214,Norsk Digital Pte Ltd - Expansion,U217,Expansion,5334.0,USD,2024-01-02,2024-02-25,6-Closed Lost,True,False,Closed,Inbound
O11543,A1256,Palisade Payments Pte Ltd - New Business,U214,New Business,343300.0,BRL,2026-01-25,2026-05-04,6-Closed Lost,True,False,Closed,Event
O10651,A1277,Zenith Networks Pte Ltd - Expansion,U211,Expansion,4242.0,USD,2026-04-18,2026-04-27,5-Closed Won,True,True,Closed,Outbound
O10925,A1265,Gilder Labs Pte Ltd - Expansion,U218,Expansion,101766.0,USD,2025-10-06,2026-03-26,5-Closed Won,True,True,Closed,Outbound
O10012,A1158,Auriga Labs Ltd - Expansion,U213,Expansion,8442.0,USD,2026-01-13,2026-02-12,5-Closed Won,True,True,Closed,Outbound
O12429,A1009,Harrow Advisors SA - New Business,U213,New Business,153400.0,USD,2026-04-19,2026-06-09,6-Closed Lost,True,False,Closed,Partner
O11417,A1383,Thorne Trust Ltd - Renewal,U202,Renewal,44400.0,USD,2024-06-02,2024-08-06,6-Closed Lost,True,False,Closed,Outbound
O10565,A1274,Tessera Exchange LLC - Renewal,U214,Renewal,284700.0,EUR,2024-08-07,2025-02-06,6-Closed Lost,True,False,Closed,Outbound
