history_id,opportunity_id,from_stage,to_stage,changed_at,changed_by_user_id
H000068,O10018,3-Proposal,4-Negotiation,2024-06-02 00:00:00,U205
H000069,O10018,4-Negotiation,6-Closed Lost,2024-06-15 00:00:00,U205
H000070,O10019,,2-Qualified,2024-06-13 00:00:00,U211
H000071,O10019,2-Qualified,3-Proposal,2024-06-20 00:00:00,U211
H000072,O10019,3-Proposal,4-Negotiation,2024-06-30 00:00:00,U211
H000073,O10019,4-Negotiation,6-Closed Lost,2024-07-05 00:00:00,U211
H000074,O10021,,2-Qualified,2025-10-24 00:00:00,U222
H000075,O10021,2-Qualified,3-Proposal,2025-12-02 00:00:00,U222
H000076,O10021,3-Proposal,6-Closed Lost,2026-01-29 00:00:00,U222
H000077,O10022,,2-Qualified,2024-07-07 00:00:00,U215
H000078,O10022,2-Qualified,3-Proposal,2024-07-11 00:00:00,U215
H000079,O10022,3-Proposal,4-Negotiation,2024-07-15 00:00:00,U215
H000080,O10022,4-Negotiation,5-Closed Won,2024-07-19 00:00:00,U215
H000081,O10023,,2-Qualified,2024-09-29 00:00:00,U212
H000082,O10023,2-Qualified,3-Proposal,2024-10-30 00:00:00,U212
H000083,O10023,3-Proposal,4-Negotiation,2024-11-23 00:00:00,U212
H000084,O10023,4-Negotiation,5-Closed Won,2025-01-04 00:00:00,U212
H000085,O10024,,2-Qualified,2024-03-14 00:00:00,U200
H000086,O10024,2-Qualified,3-Proposal,2024-04-09 00:00:00,U200
H000087,O10024,3-Proposal,6-Closed Lost,2024-05-05 00:00:00,U200
H000088,O10025,,2-Qualified,2024-08-27 00:00:00,U201
H000089,O10025,2-Qualified,3-Proposal,2024-09-06 00:00:00,U201
H000090,O10025,3-Proposal,4-Negotiation,2024-09-21 00:00:00,U201
H000091,O10025,4-Negotiation,5-Closed Won,2024-10-02 00:00:00,U201
H000092,O10026,,2-Qualified,2025-06-14 00:00:00,U209
H000093,O10026,2-Qualified,3-Proposal,2025-07-11 00:00:00,U209
H000094,O10026,3-Proposal,4-Negotiation,2025-08-07 00:00:00,U209
H000095,O10026,4-Negotiation,5-Closed Won,2025-08-17 00:00:00,U209
H000096,O10027,,2-Qualified,2025-12-10 00:00:00,U216
H000097,O10027,2-Qualified,3-Proposal,2025-12-20 00:00:00,U216
H000098,O10027,3-Proposal,4-Negotiation,2026-01-10 00:00:00,U216
H000099,O10027,4-Negotiation,5-Closed Won,2026-01-22 00:00:00,U216
H000100,O10028,,2-Qualified,2026-04-12 00:00:00,U208
H000101,O10028,2-Qualified,3-Proposal,2026-06-06 00:00:00,U208
H000102,O10028,3-Proposal,4-Negotiation,2026-07-15 00:00:00,U208
H000103,O10029,,2-Qualified,2024-03-23 00:00:00,U220
H000104,O10029,2-Qualified,6-Closed Lost,2024-05-19 00:00:00,U220
H000105,O10030,,2-Qualified,2024-04-17 00:00:00,U204
H000106,O10030,2-Qualified,3-Proposal,2024-04-30 00:00:00,U204
H000107,O10030,3-Proposal,4-Negotiation,2024-05-09 00:00:00,U204
H000108,O10030,4-Negotiation,5-Closed Won,2024-05-15 00:00:00,U204
H000109,O10031,,2-Qualified,2025-04-16 00:00:00,U206
H000110,O10031,2-Qualified,3-Proposal,2025-04-25 00:00:00,U206
H000111,O10031,3-Proposal,4-Negotiation,2025-05-05 00:00:00,U206
H000112,O10031,4-Negotiation,6-Closed Lost,2025-05-15 00:00:00,U206
H000113,O10032,,2-Qualified,2024-04-23 00:00:00,U202
H000114,O10032,2-Qualified,3-Proposal,2024-05-08 00:00:00,U202
H000115,O10032,3-Proposal,4-Negotiation,2024-05-31 00:00:00,U202
H000116,O10032,4-Negotiation,5-Closed Won,2024-06-20 00:00:00,U202
H000117,O10033,,2-Qualified,2026-05-01 00:00:00,U206
H000118,O10033,2-Qualified,3-Proposal,2026-05-14 00:00:00,U206
H000119,O10033,3-Proposal,4-Negotiation,2026-05-28 00:00:00,U206
H000120,O10033,4-Negotiation,5-Closed Won,2026-06-07 00:00:00,U206
H000121,O10034,,2-Qualified,2026-01-27 00:00:00,U218
H000122,O10034,2-Qualified,3-Proposal,2026-03-07 00:00:00,U218
H000123,O10034,3-Proposal,4-Negotiation,2026-03-30 00:00:00,U218
H000124,O10034,4-Negotiation,5-Closed Won,2026-04-19 00:00:00,U218
H000125,O10035,,2-Qualified,2025-07-16 00:00:00,U223
H000126,O10035,2-Qualified,6-Closed Lost,2025-07-26 00:00:00,U223
H000127,O10036,,2-Qualified,2025-02-23 00:00:00,U203
H000128,O10036,2-Qualified,3-Proposal,2025-04-03 00:00:00,U203
H000129,O10036,3-Proposal,4-Negotiation,2025-04-25 00:00:00,U203
H000130,O10036,4-Negotiation,6-Closed Lost,2025-05-28 00:00:00,U203
H000131,O10037,,2-Qualified,2024-10-13 00:00:00,U212
H000132,O10037,2-Qualified,3-Proposal,2024-10-26 00:00:00,U212
H000133,O10037,3-Proposal,4-Negotiation,2024-11-08 00:00:00,U212
H000134,O10037,4-Negotiation,5-Closed Won,2024-11-16 00:00:00,U212
H000135,O10038,,2-Qualified,2024-07-30 00:00:00,U220
H000136,O10038,2-Qualified,3-Proposal,2024-08-19 00:00:00,U220
H000137,O10038,3-Proposal,4-Negotiation,2024-09-06 00:00:00,U220
H000138,O10038,4-Negotiation,5-Closed Won,2024-09-17 00:00:00,U220
H000139,O10040,,2-Qualified,2025-02-20 00:00:00,U220
H000140,O10040,2-Qualified,3-Proposal,2025-03-15 00:00:00,U220
H000141,O10040,3-Proposal,4-Negotiation,2025-05-01 00:00:00,U220
H000142,O10040,4-Negotiation,5-Closed Won,2025-06-10 00:00:00,U220
H000143,O10041,,2-Qualified,2024-06-02 00:00:00,U214
H000144,O10041,2-Qualified,3-Proposal,2024-06-12 00:00:00,U214
H000145,O10041,3-Proposal,4-Negotiation,2024-06-20 00:00:00,U214
H000146,O10041,4-Negotiation,5-Closed Won,2024-06-28 00:00:00,U214
H000147,O10042,,2-Qualified,2026-05-11 00:00:00,U223
H000148,O10042,2-Qualified,3-Proposal,2026-05-16 00:00:00,U223
H000149,O10042,3-Proposal,4-Negotiation,2026-05-21 00:00:00,U223
H000150,O10042,4-Negotiation,5-Closed Won,2026-05-25 00:00:00,U223
H000151,O10043,,2-Qualified,2025-03-13 00:00:00,U207
H000152,O10043,2-Qualified,3-Proposal,2025-05-03 00:00:00,U207
H000153,O10043,3-Proposal,4-Negotiation,2025-05-31 00:00:00,U207
H000154,O10043,4-Negotiation,5-Closed Won,2025-06-27 00:00:00,U207
H000155,O10044,,2-Qualified,2025-01-17 00:00:00,U216
H000156,O10044,2-Qualified,3-Proposal,2025-01-18 00:00:00,U216
H000157,O10044,3-Proposal,4-Negotiation,2025-01-20 00:00:00,U216
H000158,O10044,4-Negotiation,5-Closed Won,2025-01-22 00:00:00,U216
H000159,O10045,,2-Qualified,2025-12-13 00:00:00,U217
H000160,O10045,2-Qualified,6-Closed Lost,2026-01-05 00:00:00,U217
H000161,O10048,,2-Qualified,2025-08-08 00:00:00,U214
H000162,O10048,2-Qualified,6-Closed Lost,2025-08-15 00:00:00,U214
H000163,O10049,,2-Qualified,2026-03-26 00:00:00,U203
H000164,O10049,2-Qualified,3-Proposal,2026-04-12 00:00:00,U203
H000165,O10049,3-Proposal,4-Negotiation,2026-04-30 00:00:00,U203
H000166,O10049,4-Negotiation,6-Closed Lost,2026-05-19 00:00:00,U203
H000167,O10050,,2-Qualified,2024-11-22 00:00:00,U220
H000168,O10050,2-Qualified,6-Closed Lost,2024-12-21 00:00:00,U220
H000169,O10051,,2-Qualified,2024-05-15 00:00:00,U208
H000170,O10051,2-Qualified,6-Closed Lost,2024-07-01 00:00:00,U208
H000171,O10052,,2-Qualified,2024-07-08 00:00:00,U202
H000172,O10052,2-Qualified,3-Proposal,2024-08-03 00:00:00,U202
H000173,O10052,3-Proposal,6-Closed Lost,2024-09-09 00:00:00,U202
H000174,O10053,,2-Qualified,2025-02-26 00:00:00,U219
H000175,O10053,2-Qualified,3-Proposal,2025-04-15 00:00:00,U219
H000176,O10053,3-Proposal,6-Closed Lost,2025-07-01 00:00:00,U219
H000177,O10054,,2-Qualified,2024-09-12 00:00:00,U217
H000178,O10054,2-Qualified,3-Proposal,2024-11-06 00:00:00,U217
H000179,O10054,3-Proposal,4-Negotiation,2024-12-18 00:00:00,U217
H000180,O10054,4-Negotiation,5-Closed Won,2025-01-13 00:00:00,U217
H000181,O10055,,2-Qualified,2025-11-10 00:00:00,U215
H000182,O10055,2-Qualified,3-Proposal,2025-11-25 00:00:00,U215
H000183,O10055,3-Proposal,4-Negotiation,2025-12-12 00:00:00,U215
H000184,O10055,4-Negotiation,6-Closed Lost,2025-12-21 00:00:00,U215
H000185,O10056,,2-Qualified,2024-01-28 00:00:00,U206
H000186,O10056,2-Qualified,3-Proposal,2024-02-20 00:00:00,U206
H000187,O10056,3-Proposal,4-Negotiation,2024-03-15 00:00:00,U206
H000188,O10056,4-Negotiation,5-Closed Won,2024-03-31 00:00:00,U206
H000189,O10057,,2-Qualified,2026-06-23 00:00:00,U203
H000190,O10057,2-Qualified,3-Proposal,2026-07-03 00:00:00,U203
H000191,O10058,,2-Qualified,2026-07-12 00:00:00,U202
H000192,O10059,,2-Qualified,2026-01-16 00:00:00,U209
H000193,O10059,2-Qualified,3-Proposal,2026-02-04 00:00:00,U209
H000194,O10059,3-Proposal,4-Negotiation,2026-02-18 00:00:00,U209
H000195,O10059,4-Negotiation,5-Closed Won,2026-03-09 00:00:00,U209
H000196,O10060,,2-Qualified,2025-07-20 00:00:00,U218
H000197,O10060,2-Qualified,3-Proposal,2025-08-15 00:00:00,U218
H000198,O10060,3-Proposal,4-Negotiation,2025-09-08 00:00:00,U218
H000199,O10060,4-Negotiation,5-Closed Won,2025-09-21 00:00:00,U218
H000200,O10061,,2-Qualified,2025-05-05 00:00:00,U209
H000201,O10061,2-Qualified,6-Closed Lost,2025-05-08 00:00:00,U209
H000202,O10062,,2-Qualified,2024-12-07 00:00:00,U216
H000203,O10062,2-Qualified,3-Proposal,2024-12-11 00:00:00,U216
H000204,O10062,3-Proposal,6-Closed Lost,2024-12-14 00:00:00,U216
H000205,O10063,,2-Qualified,2024-08-01 00:00:00,U211
H000206,O10063,2-Qualified,3-Proposal,2024-08-11 00:00:00,U211
H000207,O10063,3-Proposal,4-Negotiation,2024-08-19 00:00:00,U211
H000208,O10063,4-Negotiation,5-Closed Won,2024-09-03 00:00:00,U211
H000209,O10064,,2-Qualified,2025-02-18 00:00:00,U209
H000210,O10064,2-Qualified,3-Proposal,2025-03-24 00:00:00,U209
H000211,O10064,3-Proposal,6-Closed Lost,2025-06-04 00:00:00,U209
H000212,O10065,,2-Qualified,2024-09-23 00:00:00,U216
H000213,O10065,2-Qualified,3-Proposal,2024-10-16 00:00:00,U216
H000214,O10065,3-Proposal,4-Negotiation,2024-11-02 00:00:00,U216
H000215,O10065,4-Negotiation,6-Closed Lost,2024-11-15 00:00:00,U216
H000216,O10066,,2-Qualified,2024-09-25 00:00:00,U215
H000217,O10066,2-Qualified,3-Proposal,2024-11-07 00:00:00,U215
H000218,O10066,3-Proposal,4-Negotiation,2024-12-07 00:00:00,U215
H000219,O10066,4-Negotiation,5-Closed Won,2024-12-31 00:00:00,U215
H000220,O10067,,2-Qualified,2024-10-18 00:00:00,U210
H000221,O10067,2-Qualified,6-Closed Lost,2024-11-01 00:00:00,U210
H000222,O10069,,2-Qualified,2024-12-19 00:00:00,U202
H000223,O10069,2-Qualified,6-Closed Lost,2024-12-22 00:00:00,U202
H000224,O10070,,2-Qualified,2025-06-02 00:00:00,U217
H000225,O10070,2-Qualified,3-Proposal,2025-06-28 00:00:00,U217
H000226,O10070,3-Proposal,6-Closed Lost,2025-07-29 00:00:00,U217
H000227,O10071,,2-Qualified,2024-02-19 00:00:00,U216
H000228,O10071,2-Qualified,6-Closed Lost,2024-03-20 00:00:00,U216
H000229,O10072,,2-Qualified,2026-02-05 00:00:00,U215
H000230,O10072,2-Qualified,3-Proposal,2026-02-13 00:00:00,U215
H000231,O10072,3-Proposal,4-Negotiation,2026-02-28 00:00:00,U215
H000232,O10072,4-Negotiation,5-Closed Won,2026-03-15 00:00:00,U215
H000233,O10073,,2-Qualified,2026-03-25 00:00:00,U216
H000234,O10073,2-Qualified,6-Closed Lost,2026-04-01 00:00:00,U216
H000235,O10074,,2-Qualified,2024-10-30 00:00:00,U211
H000236,O10074,2-Qualified,3-Proposal,2024-11-01 00:00:00,U211
H000237,O10074,3-Proposal,4-Negotiation,2024-11-02 00:00:00,U211
H000238,O10074,4-Negotiation,6-Closed Lost,2024-11-03 00:00:00,U211
H000239,O10075,,2-Qualified,2024-08-24 00:00:00,U204
H000240,O10075,2-Qualified,3-Proposal,2024-09-21 00:00:00,U204
H000241,O10075,3-Proposal,4-Negotiation,2024-10-16 00:00:00,U204
H000242,O10075,4-Negotiation,5-Closed Won,2024-11-04 00:00:00,U204
H000243,O10076,,2-Qualified,2025-03-11 00:00:00,U217
H000244,O10076,2-Qualified,3-Proposal,2025-04-18 00:00:00,U217
H000245,O10076,3-Proposal,6-Closed Lost,2025-06-27 00:00:00,U217
H000246,O10077,,2-Qualified,2025-05-29 00:00:00,U206
H000247,O10077,2-Qualified,3-Proposal,2025-06-11 00:00:00,U206
H000248,O10077,3-Proposal,4-Negotiation,2025-06-22 00:00:00,U206
H000249,O10077,4-Negotiation,6-Closed Lost,2025-07-03 00:00:00,U206
H000250,O10078,,2-Qualified,2025-11-29 00:00:00,U206
H000251,O10078,2-Qualified,3-Proposal,2025-12-26 00:00:00,U206
H000252,O10078,3-Proposal,6-Closed Lost,2026-01-22 00:00:00,U206
H000253,O10079,,2-Qualified,2024-02-03 00:00:00,U201
H000254,O10079,2-Qualified,3-Proposal,2024-02-14 00:00:00,U201
H000255,O10079,3-Proposal,4-Negotiation,2024-02-27 00:00:00,U201
H000256,O10079,4-Negotiation,6-Closed Lost,2024-03-07 00:00:00,U201
H000257,O10080,,2-Qualified,2024-06-24 00:00:00,U214
H000258,O10080,2-Qualified,3-Proposal,2024-07-06 00:00:00,U214
H000259,O10080,3-Proposal,4-Negotiation,2024-07-23 00:00:00,U214
H000260,O10080,4-Negotiation,5-Closed Won,2024-08-03 00:00:00,U214
H000261,O10081,,2-Qualified,2026-02-17 00:00:00,U210
H000262,O10081,2-Qualified,3-Proposal,2026-03-11 00:00:00,U210
H000263,O10081,3-Proposal,4-Negotiation,2026-04-01 00:00:00,U210
H000264,O10081,4-Negotiation,5-Closed Won,2026-04-09 00:00:00,U210
H000265,O10083,,2-Qualified,2025-07-25 00:00:00,U217
H000266,O10083,2-Qualified,3-Proposal,2025-08-15 00:00:00,U217
H000267,O10083,3-Proposal,4-Negotiation,2025-09-06 00:00:00,U217
H000268,O10083,4-Negotiation,5-Closed Won,2025-09-21 00:00:00,U217
H000269,O10084,,2-Qualified,2025-11-27 00:00:00,U202
H000270,O10084,2-Qualified,3-Proposal,2026-01-07 00:00:00,U202
H000271,O10084,3-Proposal,6-Closed Lost,2026-01-17 00:00:00,U202
H000272,O10085,,2-Qualified,2025-12-01 00:00:00,U209
H000273,O10085,2-Qualified,3-Proposal,2026-01-07 00:00:00,U209
H000274,O10085,3-Proposal,4-Negotiation,2026-02-17 00:00:00,U209
H000275,O10085,4-Negotiation,5-Closed Won,2026-03-10 00:00:00,U209
H000276,O10087,,2-Qualified,2026-05-07 00:00:00,U218
H000277,O10087,2-Qualified,3-Proposal,2026-05-18 00:00:00,U218
H000278,O10087,3-Proposal,4-Negotiation,2026-06-08 00:00:00,U218
H000279,O10087,4-Negotiation,6-Closed Lost,2026-06-29 00:00:00,U218
H000280,O10088,,2-Qualified,2025-08-06 00:00:00,U208
H000281,O10088,2-Qualified,3-Proposal,2025-08-26 00:00:00,U208
H000282,O10088,3-Proposal,6-Closed Lost,2025-09-16 00:00:00,U208
H000283,O10089,,2-Qualified,2025-12-20 00:00:00,U218
H000284,O10089,2-Qualified,3-Proposal,2026-01-04 00:00:00,U218
H000285,O10089,3-Proposal,4-Negotiation,2026-01-22 00:00:00,U218
H000286,O10089,4-Negotiation,5-Closed Won,2026-02-17 00:00:00,U218
H000287,O10090,,2-Qualified,2025-05-22 00:00:00,U217
H000288,O10090,2-Qualified,3-Proposal,2025-05-24 00:00:00,U217
H000289,O10090,3-Proposal,4-Negotiation,2025-05-26 00:00:00,U217
H000290,O10090,4-Negotiation,5-Closed Won,2025-05-28 00:00:00,U217
H000291,O10091,,2-Qualified,2025-05-17 00:00:00,U201
H000292,O10091,2-Qualified,3-Proposal,2025-06-06 00:00:00,U201
H000293,O10091,3-Proposal,4-Negotiation,2025-06-25 00:00:00,U201
H000294,O10091,4-Negotiation,5-Closed Won,2025-07-23 00:00:00,U201
H000295,O10092,,2-Qualified,2024-09-14 00:00:00,U214
H000296,O10092,2-Qualified,3-Proposal,2024-10-11 00:00:00,U214
H000297,O10092,3-Proposal,6-Closed Lost,2024-11-26 00:00:00,U214
H000298,O10093,,2-Qualified,2025-04-09 00:00:00,U213
H000299,O10093,2-Qualified,3-Proposal,2025-05-04 00:00:00,U213
H000300,O10093,3-Proposal,4-Negotiation,2025-05-30 00:00:00,U213
H000301,O10093,4-Negotiation,6-Closed Lost,2025-06-02 00:00:00,U213
H000302,O10094,,2-Qualified,2025-09-12 00:00:00,U217
H000303,O10094,2-Qualified,6-Closed Lost,2025-09-15 00:00:00,U217
H000304,O10095,,2-Qualified,2025-05-02 00:00:00,U206
H000305,O10095,2-Qualified,6-Closed Lost,2025-05-26 00:00:00,U206
H000306,O10096,,2-Qualified,2024-12-20 00:00:00,U202
H000307,O10096,2-Qualified,3-Proposal,2025-01-15 00:00:00,U202
H000308,O10096,3-Proposal,4-Negotiation,2025-02-18 00:00:00,U202
H000309,O10096,4-Negotiation,5-Closed Won,2025-03-13 00:00:00,U202
H000310,O10097,,2-Qualified,2024-08-05 00:00:00,U209
H000311,O10097,2-Qualified,3-Proposal,2024-08-09 00:00:00,U209
H000312,O10097,3-Proposal,4-Negotiation,2024-08-12 00:00:00,U209
H000313,O10097,4-Negotiation,5-Closed Won,2024-08-18 00:00:00,U209
H000314,O10098,,2-Qualified,2025-06-11 00:00:00,U205
H000315,O10098,2-Qualified,3-Proposal,2025-07-24 00:00:00,U205
H000316,O10098,3-Proposal,4-Negotiation,2025-08-15 00:00:00,U205
H000317,O10098,4-Negotiation,5-Closed Won,2025-09-15 00:00:00,U205
H000318,O10099,,2-Qualified,2025-03-06 00:00:00,U209
H000319,O10099,2-Qualified,3-Proposal,2025-04-03 00:00:00,U209
H000320,O10099,3-Proposal,4-Negotiation,2025-05-02 00:00:00,U209
H000321,O10099,4-Negotiation,6-Closed Lost,2025-05-13 00:00:00,U209
H000322,O10100,,2-Qualified,2025-06-13 00:00:00,U209
H000323,O10100,2-Qualified,3-Proposal,2025-06-20 00:00:00,U209
H000324,O10100,3-Proposal,4-Negotiation,2025-06-28 00:00:00,U209
H000325,O10100,4-Negotiation,5-Closed Won,2025-07-02 00:00:00,U209
H000326,O10101,,2-Qualified,2025-06-26 00:00:00,U220
H000327,O10101,2-Qualified,3-Proposal,2025-07-07 00:00:00,U220
H000328,O10101,3-Proposal,4-Negotiation,2025-07-18 00:00:00,U220
H000329,O10101,4-Negotiation,5-Closed Won,2025-07-24 00:00:00,U220
H000330,O10102,,2-Qualified,2026-02-25 00:00:00,U209
H000331,O10102,2-Qualified,3-Proposal,2026-02-27 00:00:00,U209
H000332,O10102,3-Proposal,4-Negotiation,2026-02-28 00:00:00,U209
H000333,O10102,4-Negotiation,5-Closed Won,2026-03-02 00:00:00,U209
H000334,O10103,,2-Qualified,2025-07-11 00:00:00,U216
H000335,O10103,2-Qualified,3-Proposal,2025-07-28 00:00:00,U216
H000336,O10103,3-Proposal,4-Negotiation,2025-08-20 00:00:00,U216
H000337,O10103,4-Negotiation,5-Closed Won,2025-08-31 00:00:00,U216
H000338,O10104,,2-Qualified,2025-01-28 00:00:00,U207
H000339,O10104,2-Qualified,3-Proposal,2025-02-15 00:00:00,U207
H000340,O10104,3-Proposal,4-Negotiation,2025-03-04 00:00:00,U207
H000341,O10104,4-Negotiation,5-Closed Won,2025-03-24 00:00:00,U207
H000342,O10106,,2-Qualified,2026-02-18 00:00:00,U206
H000343,O10106,2-Qualified,3-Proposal,2026-03-05 00:00:00,U206
H000344,O10106,3-Proposal,4-Negotiation,2026-03-29 00:00:00,U206
H000345,O10106,4-Negotiation,5-Closed Won,2026-04-28 00:00:00,U206
H000346,O10107,,2-Qualified,2024-12-17 00:00:00,U206
H000347,O10107,2-Qualified,3-Proposal,2025-02-12 00:00:00,U206
H000348,O10107,3-Proposal,6-Closed Lost,2025-02-26 00:00:00,U206
H000349,O10108,,2-Qualified,2024-12-05 00:00:00,U209
H000350,O10108,2-Qualified,6-Closed Lost,2024-12-08 00:00:00,U209
H000351,O10109,,2-Qualified,2024-04-21 00:00:00,U208
H000352,O10109,2-Qualified,3-Proposal,2024-06-06 00:00:00,U208
H000353,O10109,3-Proposal,6-Closed Lost,2024-07-11 00:00:00,U208
H000354,O10110,,2-Qualified,2025-12-01 00:00:00,U207
H000355,O10110,2-Qualified,3-Proposal,2025-12-13 00:00:00,U207
H000356,O10110,3-Proposal,4-Negotiation,2025-12-26 00:00:00,U207
H000357,O10110,4-Negotiation,5-Closed Won,2026-01-05 00:00:00,U207
H000358,O10111,,2-Qualified,2025-10-11 00:00:00,U211
H000359,O10111,2-Qualified,3-Proposal,2025-10-30 00:00:00,U211
H000360,O10111,3-Proposal,4-Negotiation,2025-11-17 00:00:00,U211
H000361,O10111,4-Negotiation,5-Closed Won,2025-12-09 00:00:00,U211
H000362,O10112,,2-Qualified,2024-05-20 00:00:00,U215
H000363,O10112,2-Qualified,3-Proposal,2024-06-09 00:00:00,U215
H000364,O10112,3-Proposal,4-Negotiation,2024-06-19 00:00:00,U215
H000365,O10112,4-Negotiation,5-Closed Won,2024-07-02 00:00:00,U215
H000366,O10113,,2-Qualified,2024-12-02 00:00:00,U223
H000367,O10113,2-Qualified,3-Proposal,2024-12-25 00:00:00,U223
H000368,O10113,3-Proposal,4-Negotiation,2025-01-18 00:00:00,U223
H000369,O10113,4-Negotiation,6-Closed Lost,2025-02-12 00:00:00,U223
H000370,O10114,,2-Qualified,2026-01-06 00:00:00,U202
H000371,O10114,2-Qualified,3-Proposal,2026-01-08 00:00:00,U202
H000372,O10114,3-Proposal,4-Negotiation,2026-01-09 00:00:00,U202
H000373,O10114,4-Negotiation,5-Closed Won,2026-01-11 00:00:00,U202
H000374,O10115,,2-Qualified,2024-10-11 00:00:00,U219
H000375,O10115,2-Qualified,3-Proposal,2024-10-31 00:00:00,U219
