subscription_id,account_id,source_opportunity_id,product_name,arr,currency,term_start_date,term_end_date,billing_frequency,status,replaced_by_subscription_id
S20039,A1087,O10790,Advanced Analytics,39894.69,USD,2024-04-28,2025-04-28,Annual,Expired,
S20040,A1087,O10790,Managed Training,61921.3,USD,2024-04-28,2025-04-28,Annual,Expired,
S20041,A1238,O10137,Managed Training,16300.0,USD,2024-04-29,2025-04-29,Annual,Expired,
S20042,A1303,O12559,API Access,43600.0,USD,2024-04-30,2025-04-30,Annual,Expired,
S20043,A1048,O10556,Managed Training,23395.41,USD,2024-05-01,2025-05-01,Annual,Expired,
S20044,A1048,O10556,API Access,7196.77,USD,2024-05-01,2026-05-01,Annual,Expired,
S20045,A1413,O11642,Advanced Analytics,6132.0,USD,2024-05-02,2025-05-02,Quarterly,Expired,
S20046,A1189,O11485,API Access,19656.0,USD,2024-05-02,2025-05-02,Annual,Expired,
S20047,A1384,O10883,API Access,55255.78,USD,2024-05-03,2025-05-03,Quarterly,Expired,
S20048,A1384,O10883,Managed Training,45356.24,USD,2024-05-03,2025-05-03,Annual,Expired,
S20049,A1196,O11859,Core Platform,56279.86,GBP,2024-05-04,2025-05-04,Annual,Expired,
S20050,A1196,O11859,Advanced Analytics,96809.34,GBP,2024-05-04,2025-05-04,Annual,Expired,
S20051,A1283,O11558,API Access,7644.0,USD,2024-05-04,2025-05-04,Annual,Expired,
S20052,A1082,O12373,API Access,24692.66,BRL,2024-05-10,2025-05-10,Annual,Expired,
S20053,A1082,O12373,Managed Training,34845.78,BRL,2024-05-10,2025-05-10,Annual,Expired,
S20054,A1418,O10188,API Access,9526.93,SGD,2024-05-10,2026-05-10,Annual,Expired,
S20055,A1418,O10188,Core Platform,10182.55,SGD,2024-05-10,2025-05-10,Quarterly,Churned,
S20056,A1264,O12539,Core Platform,21870.12,EUR,2024-05-10,2025-05-10,Annual,Expired,
S20057,A1264,O12539,Advanced Analytics,36812.04,EUR,2024-05-10,2025-05-10,Annual,Expired,
S20058,A1398,O10244,Core Platform,4620.0,EUR,2024-05-13,2025-05-13,Annual,Expired,
S20059,A1074,O11146,Managed Training,27428.0,GBP,2024-05-16,2025-05-16,Annual,Expired,
S20060,A1074,O11146,API Access,17501.17,GBP,2024-05-16,2025-05-16,Annual,Expired,
S20061,A1044,O10615,API Access,10878.0,USD,2024-05-17,2025-05-17,Annual,Expired,
S20062,A1312,O10030,Advanced Analytics,17934.0,EUR,2024-05-18,2025-05-18,Quarterly,Expired,
S20063,A1184,O12554,Advanced Analytics,123755.29,USD,2024-05-22,2025-05-22,Annual,Expired,
S20064,A1184,O12554,Managed Training,86866.54,USD,2024-05-22,2025-05-22,Annual,Expired,
S20065,A1295,O11937,Core Platform,2660.0,USD,2024-05-25,2027-05-25,Annual,Amended,S99050
S20066,A1119,O12182,API Access,51744.0,USD,2024-05-25,2026-05-25,Quarterly,Expired,
S20067,A1355,O11069,Managed Training,6937.54,USD,2024-05-30,2025-05-30,Annual,Expired,
S20068,A1355,O11069,Core Platform,10472.46,USD,2024-05-30,2025-05-30,Annual,Churned,
S20069,A1365,O12202,API Access,7014.0,GBP,2024-06-01,2025-06-01,Annual,Expired,
S20070,A1147,O10220,Core Platform,9408.0,EUR,2024-06-02,2025-06-02,Monthly,Expired,
S20071,A1324,O10879,Managed Training,25788.0,BRL,2024-06-03,2025-06-03,Monthly,Churned,
S20072,A1164,O12403,Advanced Analytics,4230.05,USD,2024-06-04,2027-06-04,Annual,Active,
S20073,A1164,O12403,Core Platform,16573.28,USD,2024-06-04,2025-06-04,Annual,Expired,
S20074,A1222,O10015,Advanced Analytics,44004.9,EUR,2024-06-05,2025-06-05,Quarterly,Expired,
S20075,A1222,O10015,API Access,22914.34,EUR,2024-06-05,2027-06-05,Annual,Active,
S20076,A1222,O11816,Managed Training,25536.0,EUR,2024-06-05,2025-06-05,Annual,Expired,
S20077,A1128,O11009,Core Platform,39389.59,USD,2024-06-06,2025-06-06,Annual,Expired,
S20078,A1128,O11009,Advanced Analytics,20214.97,USD,2024-06-06,2025-06-06,Quarterly,Expired,
S20079,A1212,O11331,API Access,71600.0,USD,2024-06-08,2025-06-08,Annual,Expired,
S20080,A1256,O11508,Managed Training,11605.39,BRL,2024-06-08,2026-06-08,Annual,Expired,
S20081,A1256,O11508,Core Platform,28111.0,BRL,2024-06-08,2025-06-08,Annual,Expired,
S20082,A1385,O12453,Core Platform,6000.0,USD,2024-06-13,2027-06-13,Annual,Active,
S20083,A1147,O11616,Advanced Analytics,5208.0,EUR,2024-06-14,2025-06-14,Annual,Expired,
S20084,A1273,O12286,API Access,23376.63,USD,2024-06-14,2025-06-14,Annual,Expired,
S20085,A1273,O12286,Advanced Analytics,18930.11,USD,2024-06-14,2025-06-14,Annual,Churned,
S20086,A1068,O12385,Core Platform,36587.8,USD,2024-06-14,2026-06-14,Annual,Expired,
S20087,A1068,O12385,API Access,53085.72,USD,2024-06-14,2025-06-14,Quarterly,Expired,
S20088,A1304,O10123,API Access,18018.0,USD,2024-06-16,2025-06-16,Annual,Churned,
S20089,A1403,O12420,Managed Training,9072.0,USD,2024-06-16,2026-06-16,Monthly,Expired,
S20090,A1193,O11434,Managed Training,7365.31,BRL,2024-06-17,2025-06-17,Annual,Expired,
S20091,A1193,O11434,API Access,11118.93,BRL,2024-06-17,2025-06-17,Annual,Expired,
S20092,A1368,O11546,Managed Training,80478.88,USD,2024-06-18,2025-06-18,Annual,Expired,
S20093,A1368,O11546,Core Platform,43794.91,USD,2024-06-18,2025-06-18,Quarterly,Expired,
S20094,A1089,O11019,Managed Training,1281.0,BRL,2024-06-18,2026-06-18,Annual,Expired,
S20095,A1090,O11824,API Access,2670.33,USD,2024-06-19,2025-06-19,Annual,Expired,
S20096,A1090,O11824,Advanced Analytics,3812.97,USD,2024-06-19,2025-06-19,Annual,Churned,
S20097,A1306,O11587,API Access,232033.36,USD,2024-06-20,2025-06-20,Annual,Expired,
S20098,A1306,O11587,Managed Training,153113.03,USD,2024-06-20,2025-06-20,Annual,Expired,
S20099,A1358,O11401,API Access,36655.01,BRL,2024-06-21,2025-06-21,Monthly,Expired,
S20100,A1358,O11401,Managed Training,37691.4,BRL,2024-06-21,2025-06-21,Annual,Expired,
S20101,A1256,O10191,API Access,80850.0,BRL,2024-06-21,2026-06-21,Annual,Expired,
S20102,A1028,O11415,Managed Training,149469.65,USD,2024-06-21,2025-06-21,Annual,Expired,
S20103,A1028,O11415,API Access,74098.87,USD,2024-06-21,2025-06-21,Annual,Expired,
S20104,A1370,O11383,Advanced Analytics,20100.0,USD,2024-06-28,2025-06-28,Annual,Expired,
S20105,A1378,O11227,Core Platform,169000.0,USD,2024-06-29,2025-06-29,Annual,Expired,
S20106,A1089,O12307,Advanced Analytics,1892.29,BRL,2024-06-30,2027-06-30,Annual,Active,
S20107,A1089,O12307,Core Platform,5597.46,BRL,2024-06-30,2025-06-30,Annual,Expired,
S20108,A1229,O11459,Core Platform,74500.0,USD,2024-06-30,2025-06-30,Annual,Expired,
S20109,A1050,O10698,Managed Training,9844.15,EUR,2024-07-01,2025-07-01,Annual,Expired,
S20110,A1050,O10698,Core Platform,7656.84,EUR,2024-07-01,2026-07-01,Annual,Active,
S20111,A1201,O12018,Advanced Analytics,6636.0,EUR,2024-07-02,2025-07-02,Annual,Expired,
S20112,A1362,O11135,Core Platform,33648.65,USD,2024-07-06,2025-07-06,Annual,Expired,
S20113,A1362,O11135,Advanced Analytics,32781.73,USD,2024-07-06,2025-07-06,Annual,Expired,
S20114,A1271,O11888,Managed Training,144258.1,USD,2024-07-06,2025-07-06,Quarterly,Expired,
S20115,A1271,O11888,Advanced Analytics,30308.68,USD,2024-07-06,2027-07-06,Quarterly,Active,
S20116,A1174,O11818,Core Platform,45300.0,USD,2024-07-07,2025-07-07,Annual,Expired,
S20117,A1260,O12148,Core Platform,62800.0,USD,2024-07-07,2025-07-07,Annual,Expired,
S20118,A1419,O11651,Advanced Analytics,3633.0,BRL,2024-07-08,2026-07-08,Annual,Active,
S20119,A1040,O10938,Advanced Analytics,6734.0,USD,2024-07-08,2027-07-08,Annual,Active,
S20120,A1323,O10767,Core Platform,22008.0,SGD,2024-07-09,2025-07-09,Annual,Expired,
S20121,A1335,O12261,Advanced Analytics,159700.0,USD,2024-07-09,2025-07-09,Annual,Expired,
S20122,A1316,O11899,Core Platform,14112.0,USD,2024-07-15,2025-07-15,Annual,Expired,
S20123,A1297,O11834,Advanced Analytics,51954.0,USD,2024-07-16,2025-07-16,Quarterly,Expired,
S20124,A1134,O10927,Core Platform,45754.12,EUR,2024-07-18,2025-07-18,Monthly,Expired,
S20125,A1134,O10927,API Access,54429.89,EUR,2024-07-18,2025-07-18,Annual,Expired,
S20126,A1200,O11901,Core Platform,3587.8,GBP,2024-07-18,2026-07-18,Quarterly,Active,
S20127,A1200,O11901,API Access,9080.28,GBP,2024-07-18,2025-07-18,Quarterly,Expired,
S20128,A1187,O12028,Core Platform,44600.0,USD,2024-07-21,2025-07-21,Annual,Expired,
S20129,A1370,O10540,Core Platform,2310.0,USD,2024-07-21,2025-07-21,Annual,Expired,
S20130,A1270,O11902,Managed Training,46719.5,SGD,2024-07-22,2025-07-22,Monthly,Expired,
S20131,A1270,O11902,API Access,25666.57,SGD,2024-07-22,2025-07-22,Annual,Expired,
S20132,A1307,O12412,Core Platform,198033.15,USD,2024-07-24,2025-07-24,Quarterly,Expired,
S20133,A1307,O12412,Managed Training,289323.73,USD,2024-07-24,2025-07-24,Annual,Expired,
S20134,A1014,O11650,API Access,3301.39,SGD,2024-07-24,2025-07-24,Quarterly,Expired,
S20135,A1014,O11650,Managed Training,3075.04,SGD,2024-07-24,2025-07-24,Quarterly,Expired,
S20136,A1298,O10368,Managed Training,191858.2,BRL,2024-07-26,2025-07-26,Annual,Expired,
S20137,A1298,O10368,Advanced Analytics,108398.0,BRL,2024-07-26,2025-07-26,Annual,Expired,
S20138,A1010,O11949,Advanced Analytics,78569.99,EUR,2024-07-27,2025-07-27,Annual,Expired,
S20139,A1010,O11949,API Access,20967.38,EUR,2024-07-27,2027-07-27,Annual,Active,
S20140,A1062,O12480,Managed Training,17640.66,USD,2024-07-29,2025-07-29,Quarterly,Expired,
S20141,A1062,O12480,Core Platform,8418.28,USD,2024-07-29,2026-07-29,Annual,Active,
S20142,A1170,O11105,Advanced Analytics,114450.0,USD,2024-07-31,2025-07-31,Annual,Expired,
S20143,A1198,O10207,Core Platform,30450.0,USD,2024-08-02,2025-08-02,Annual,Expired,
S20144,A1343,O10521,Advanced Analytics,51345.51,USD,2024-08-04,2026-08-04,Annual,Active,
S20145,A1343,O10521,API Access,62300.25,USD,2024-08-04,2026-08-04,Annual,Active,
S20146,A1207,O11107,Managed Training,11700.0,USD,2024-08-05,2025-08-05,Annual,Expired,
S20147,A1041,O11579,Advanced Analytics,5922.0,USD,2024-08-05,2026-08-05,Annual,Active,
S20148,A1315,O12352,Managed Training,13155.15,USD,2024-08-06,2027-08-06,Monthly,Active,
S20149,A1315,O12352,Advanced Analytics,39771.38,USD,2024-08-06,2025-08-06,Annual,Expired,
S20150,A1166,O10834,Advanced Analytics,44657.59,GBP,2024-08-09,2027-08-09,Annual,Active,
S20151,A1166,O10834,API Access,119774.79,GBP,2024-08-09,2025-08-09,Annual,Churned,
S20152,A1344,O11569,Core Platform,25914.0,USD,2024-08-12,2025-08-12,Annual,Expired,
S20153,A1124,O11232,Managed Training,72850.34,USD,2024-08-13,2025-08-13,Annual,Expired,
S20154,A1124,O11232,Advanced Analytics,87401.92,USD,2024-08-13,2025-08-13,Quarterly,Expired,
S20155,A1159,O10704,Advanced Analytics,146600.0,USD,2024-08-15,2025-08-15,Annual,Expired,
S20156,A1169,O10889,API Access,160000.0,USD,2024-08-15,2025-08-15,Quarterly,Expired,
S20157,A1251,O11714,API Access,4896.79,GBP,2024-08-16,2026-08-16,Monthly,Active,
S20158,A1251,O11714,Core Platform,7530.4,GBP,2024-08-16,2026-08-16,Annual,Active,
S20159,A1022,O11215,API Access,10564.37,EUR,2024-08-17,2025-08-17,Annual,Expired,
S20160,A1022,O11215,Core Platform,10664.2,EUR,2024-08-17,2025-08-17,Annual,Expired,
S20161,A1032,O11150,Advanced Analytics,51321.65,USD,2024-08-21,2025-08-21,Monthly,Expired,
S20162,A1032,O11150,Managed Training,54069.66,USD,2024-08-21,2025-08-21,Annual,Expired,
S20163,A1395,O12467,API Access,11697.57,EUR,2024-08-21,2025-08-21,Annual,Expired,
S20164,A1395,O12467,Managed Training,5751.58,EUR,2024-08-21,2026-08-21,Annual,Active,
S20165,A1221,O11747,API Access,58844.56,GBP,2024-08-27,2025-08-27,Quarterly,Expired,
S20166,A1221,O11747,Core Platform,72830.21,GBP,2024-08-27,2025-08-27,Annual,Churned,
S20167,A1026,O12434,API Access,11424.0,USD,2024-08-27,2025-08-27,Monthly,Expired,
S20168,A1238,O10656,Core Platform,6678.0,USD,2024-08-27,2025-08-27,Quarterly,Expired,
S20169,A1066,O12088,Managed Training,16380.0,USD,2024-08-28,2025-08-28,Monthly,Expired,
S20170,A1276,O10211,API Access,9195.37,EUR,2024-08-31,2025-08-31,Annual,Expired,
S20171,A1276,O10211,Managed Training,4876.93,EUR,2024-08-31,2025-08-31,Quarterly,Expired,
S20172,A1080,O12302,API Access,42546.0,USD,2024-09-01,2025-09-01,Quarterly,Expired,
S20173,A1296,O10649,Advanced Analytics,112032.74,USD,2024-09-03,2025-09-03,Annual,Expired,
S20174,A1296,O10649,Core Platform,137813.66,USD,2024-09-03,2025-09-03,Annual,Expired,
S20175,A1227,O11940,API Access,18850.0,USD,2024-09-05,2026-09-05,Annual,Active,
S20176,A1147,O12393,Managed Training,5541.39,EUR,2024-09-08,2025-09-08,Monthly,Expired,
S20177,A1147,O12393,API Access,7137.82,EUR,2024-09-08,2025-09-08,Monthly,Expired,
S20178,A1108,O12200,Managed Training,5896.09,USD,2024-09-08,2025-09-08,Annual,Expired,
S20179,A1108,O12200,Core Platform,6189.01,USD,2024-09-08,2025-09-08,Annual,Expired,
S20180,A1088,O11029,Advanced Analytics,7150.24,EUR,2024-09-09,2025-09-09,Annual,Expired,
S20181,A1088,O11029,Managed Training,10717.87,EUR,2024-09-09,2025-09-09,Annual,Expired,
S20182,A1208,O12372,Advanced Analytics,22033.73,USD,2024-09-10,2025-09-10,Quarterly,Expired,
S20183,A1208,O12372,API Access,21192.83,USD,2024-09-10,2025-09-10,Annual,Expired,
S20184,A1071,O11202,Core Platform,18291.0,USD,2024-09-10,2026-09-10,Annual,Active,
S20185,A1055,O11264,Advanced Analytics,14742.0,BRL,2024-09-10,2025-09-10,Annual,Expired,
S20186,A1416,O11584,Advanced Analytics,35396.0,SGD,2024-09-11,2025-09-11,Annual,Churned,
S20187,A1416,O11584,Core Platform,10811.44,SGD,2024-09-11,2026-09-11,Monthly,Active,
S20188,A1040,O10416,Core Platform,50274.0,USD,2024-09-11,2025-09-11,Annual,Expired,
S20189,A1308,O12502,Managed Training,54200.0,BRL,2024-09-13,2025-09-13,Annual,Expired,
S20190,A1033,O11294,Advanced Analytics,77500.0,USD,2024-09-13,2025-09-13,Annual,Expired,
S20191,A1043,O10229,Core Platform,9000.0,EUR,2024-09-16,2025-09-16,Annual,Expired,
S20192,A1303,O10479,Core Platform,38184.61,USD,2024-09-20,2025-09-20,Quarterly,Expired,
S20193,A1303,O10479,Advanced Analytics,28788.56,USD,2024-09-20,2026-09-20,Annual,Active,
S20194,A1375,O11026,API Access,215409.95,EUR,2024-09-21,2025-09-21,Monthly,Expired,
S20195,A1375,O11026,Core Platform,204161.84,EUR,2024-09-21,2025-09-21,Quarterly,Expired,
S20196,A1029,O12285,Core Platform,145362.0,GBP,2024-09-22,2025-09-22,Annual,Expired,
S20197,A1353,O12008,Advanced Analytics,202000.0,GBP,2024-09-22,2025-09-22,Quarterly,Expired,
S20198,A1419,O11848,API Access,4895.27,BRL,2024-09-22,2025-09-22,Annual,Expired,
S20199,A1419,O11848,Core Platform,6577.63,BRL,2024-09-22,2025-09-22,Annual,Expired,
S20200,A1326,O10755,Advanced Analytics,152298.58,USD,2024-09-23,2025-09-23,Annual,Expired,
S20201,A1326,O10755,Core Platform,68256.6,USD,2024-09-23,2026-09-23,Annual,Amended,S99037
S20202,A1343,O10340,Managed Training,65105.22,USD,2024-09-24,2025-09-24,Annual,Expired,
S20203,A1343,O10340,Core Platform,53243.71,USD,2024-09-24,2026-09-24,Annual,Active,
S20204,A1224,O11743,Advanced Analytics,9303.0,USD,2024-09-25,2026-09-25,Annual,Active,
S20205,A1119,O11725,Core Platform,238700.0,USD,2024-09-29,2025-09-29,Annual,Expired,
S20206,A1231,O12543,API Access,322182.0,BRL,2024-09-30,2025-09-30,Annual,Churned,
S20207,A1217,O12161,Managed Training,3009.25,USD,2024-10-02,2025-10-02,Annual,Expired,
S20208,A1217,O12161,API Access,3900.21,USD,2024-10-02,2025-10-02,Annual,Expired,
S20209,A1027,O10216,API Access,11312.0,USD,2024-10-03,2027-10-03,Monthly,Active,
S20210,A1028,O10621,Advanced Analytics,70619.04,USD,2024-10-04,2025-10-04,Annual,Expired,
S20211,A1028,O10621,Core Platform,54413.27,USD,2024-10-04,2025-10-04,Monthly,Expired,
S20212,A1245,O10671,Core Platform,9954.0,EUR,2024-10-08,2025-10-08,Annual,Expired,
S20213,A1386,O11065,Managed Training,36000.0,GBP,2024-10-08,2025-10-08,Annual,Expired,
S20214,A1080,O11966,Managed Training,44531.67,USD,2024-10-09,2026-10-09,Annual,Active,
S20215,A1080,O11966,Advanced Analytics,87013.26,USD,2024-10-09,2025-10-09,Annual,Expired,
S20216,A1038,O12038,Core Platform,10646.47,USD,2024-10-12,2025-10-12,Annual,Churned,
S20217,A1038,O12038,API Access,15234.53,USD,2024-10-12,2025-10-12,Annual,Churned,
S20218,A1206,O11512,Core Platform,70076.09,USD,2024-10-12,2025-10-12,Annual,Expired,
S20219,A1206,O11512,Advanced Analytics,94645.92,USD,2024-10-12,2025-10-12,Quarterly,Expired,
S20220,A1319,O11139,Managed Training,33713.08,USD,2024-10-13,2025-10-13,Monthly,Expired,
S20221,A1319,O11139,Advanced Analytics,23777.55,USD,2024-10-13,2025-10-13,Annual,Expired,
S20222,A1019,O12474,Managed Training,10800.0,USD,2024-10-15,2025-10-15,Annual,Expired,
S20223,A1131,O12238,Core Platform,40666.87,USD,2024-10-16,2027-10-16,Annual,Active,
S20224,A1131,O12238,Managed Training,106871.68,USD,2024-10-16,2025-10-16,Annual,Expired,
S20225,A1123,O11573,Core Platform,17178.0,GBP,2024-10-17,2025-10-17,Monthly,Expired,
S20226,A1098,O11424,Advanced Analytics,494600.0,USD,2024-10-20,2025-10-20,Annual,Expired,
S20227,A1337,O12050,Advanced Analytics,132804.0,USD,2024-10-20,2025-10-20,Annual,Expired,
S20228,A1060,O12209,Core Platform,40330.24,USD,2024-10-25,2025-10-25,Quarterly,Expired,
S20229,A1060,O12209,Managed Training,34286.98,USD,2024-10-25,2025-10-25,Quarterly,Expired,
S20230,A1297,O11064,API Access,131400.0,USD,2024-10-26,2025-10-26,Quarterly,Expired,
S20231,A1263,O11726,Advanced Analytics,83685.45,USD,2024-10-27,2026-10-27,Annual,Active,
S20232,A1263,O11726,API Access,154309.11,USD,2024-10-27,2025-10-27,Annual,Expired,
S20233,A1372,O12516,Advanced Analytics,58145.0,USD,2024-10-30,2025-10-30,Annual,Churned,
S20234,A1372,O12516,API Access,69761.94,USD,2024-10-30,2025-10-30,Annual,Churned,
S20235,A1150,O10903,API Access,93831.72,EUR,2024-10-31,2025-10-31,Annual,Expired,
S20236,A1150,O10903,Advanced Analytics,147815.39,EUR,2024-10-31,2025-10-31,Annual,Expired,
S20237,A1330,O10193,Advanced Analytics,170500.0,USD,2024-11-01,2025-11-01,Annual,Expired,
S20238,A1193,O10164,Advanced Analytics,31900.0,BRL,2024-11-02,2025-11-02,Annual,Expired,
S20239,A1221,O10577,Advanced Analytics,78643.26,GBP,2024-11-03,2025-11-03,Annual,Churned,
S20240,A1221,O10577,Managed Training,79088.49,GBP,2024-11-03,2025-11-03,Monthly,Expired,
S20241,A1179,O10075,API Access,54243.27,USD,2024-11-04,2025-11-04,Quarterly,Churned,
S20242,A1179,O10075,Managed Training,89052.9,USD,2024-11-04,2025-11-04,Annual,Expired,
S20243,A1404,O12194,API Access,190500.0,USD,2024-11-07,2025-11-07,Annual,Expired,
S20244,A1188,O12490,Core Platform,226924.68,USD,2024-11-07,2025-11-07,Annual,Expired,
S20245,A1188,O12490,API Access,188478.88,USD,2024-11-07,2025-11-07,Annual,Expired,
S20246,A1097,O12498,Managed Training,4485.75,USD,2024-11-12,2025-11-12,Annual,Expired,
S20247,A1097,O12498,Advanced Analytics,5439.71,USD,2024-11-12,2025-11-12,Annual,Expired,
S20248,A1246,O12550,Managed Training,48296.68,EUR,2024-11-14,2025-11-14,Annual,Churned,
S20249,A1246,O12550,Advanced Analytics,86063.22,EUR,2024-11-14,2025-11-14,Annual,Expired,
S20250,A1399,O11062,API Access,8610.0,USD,2024-11-17,2025-11-17,Annual,Expired,
S20251,A1240,O10968,API Access,6735.95,USD,2024-11-18,2025-11-18,Quarterly,Expired,
S20252,A1240,O10968,Core Platform,5850.21,USD,2024-11-18,2025-11-18,Annual,Churned,
S20253,A1123,O11122,Advanced Analytics,9618.0,GBP,2024-11-20,2025-11-20,Quarterly,Expired,
S20254,A1031,O11735,Managed Training,5628.0,GBP,2024-11-20,2025-11-20,Annual,Expired,
S20255,A1156,O11112,Core Platform,129760.48,USD,2024-11-20,2025-11-20,Annual,Expired,
S20256,A1156,O11112,API Access,68866.88,USD,2024-11-20,2026-11-20,Annual,Active,
S20257,A1278,O10740,API Access,5152.0,SGD,2024-11-22,2027-11-22,Annual,Active,
S20258,A1314,O11495,API Access,95800.0,USD,2024-11-25,2025-11-25,Annual,Expired,
S20259,A1143,O11385,API Access,140070.0,USD,2024-11-27,2025-11-27,Quarterly,Expired,
S20260,A1186,O12520,Advanced Analytics,22036.21,USD,2024-11-27,2025-11-27,Annual,Expired,
S20261,A1186,O12520,API Access,20506.9,USD,2024-11-27,2025-11-27,Annual,Expired,
S20262,A1224,O11557,Core Platform,20600.0,USD,2024-11-28,2025-11-28,Annual,Expired,
S20263,A1189,O10010,Advanced Analytics,65300.0,USD,2024-11-28,2025-11-28,Quarterly,Expired,
S20264,A1235,O11004,Core Platform,12900.0,BRL,2024-11-30,2025-11-30,Quarterly,Expired,
S20265,A1128,O12395,API Access,23794.65,USD,2024-11-30,2025-11-30,Annual,Expired,
S20266,A1128,O12395,Managed Training,29208.35,USD,2024-11-30,2025-11-30,Annual,Expired,
S20267,A1397,O11865,API Access,13297.36,USD,2024-12-01,2025-12-01,Annual,Expired,
S20268,A1397,O11865,Core Platform,7111.73,USD,2024-12-01,2026-12-01,Annual,Active,
S20269,A1202,O12193,Core Platform,185243.88,USD,2024-12-03,2026-12-03,Quarterly,Active,
S20270,A1202,O12193,API Access,192635.58,USD,2024-12-03,2025-12-03,Quarterly,Expired,
S20271,A1245,O11239,API Access,3486.0,EUR,2024-12-06,2025-12-06,Quarterly,Expired,
S20272,A1184,O12564,API Access,60522.0,USD,2024-12-06,2025-12-06,Annual,Expired,
S20273,A1000,O10382,Core Platform,26964.0,USD,2024-12-07,2025-12-07,Annual,Expired,
S20274,A1154,O10493,API Access,11968.18,GBP,2024-12-08,2025-12-08,Quarterly,Expired,
S20275,A1154,O10493,Managed Training,15943.58,GBP,2024-12-08,2025-12-08,Annual,Expired,
S20276,A1245,O12592,Advanced Analytics,9021.72,EUR,2024-12-11,2025-12-11,Annual,Churned,
S20277,A1245,O12592,Managed Training,7631.53,EUR,2024-12-11,2025-12-11,Annual,Expired,
