account_id,account_name,domain,region,segment,industry,owner_user_id,created_at,is_deleted,parent_account_id,billing_currency
A1014,Quarry Holdings PLC,quarryholdings.example.com,AMER,SMB,Insurance,U210,2025-03-02 00:00:00,False,,SGD
A1323,Tessera Labs Co,tesseralabs.example.com,EMEA,,Fintech,U215,2023-05-28 00:00:00,False,,SGD
A1354,Eastgate Analytics Ltd,eastgateanalytics.example.com,EMEA,SMB,Gaming,U207,2024-06-17 00:00:00,False,,SGD
A1273,Fairlane Financial PLC,fairlanefinancial.example.com,,Mid-Market,Payments,U200,2025-07-23 00:00:00,False,,USD
A1136,Fairlane Securities GmbH,fairlanesecurities.example.com,EMEA,SMB,Insurance,U222,2023-09-22 00:00:00,False,,USD
A1124,Quarry Exchange SA,quarryexchange.example.com,AMER,Mid-Market,Consulting,U214,2024-04-18 00:00:00,False,,USD
A1126,Lattice Digital Ltd,latticedigital.example.com,EMEA,Mid-Market,Gaming,U221,2024-06-16 00:00:00,False,,USD
A1173,Lattice Payments Co,latticepayments.example.com,AMER,Mid-Market,Crypto Native,U219,2023-04-16 00:00:00,False,,USD
A1162,Lattice Group GmbH,latticegroup.example.com,AMER,Enterprise,Fintech,U205,2025-02-11 00:00:00,False,,BRL
A1033,Ironclad Partners Co,ironcladpartners.example.com,AMER,Mid-Market,Crypto Native,U223,2025-07-19 00:00:00,False,,USD
A9003,Bluewater Systems Ltd,bluewatersystems.example.com,LATAM,Mid-Market,Financial Services,U202,2025-11-14 00:00:00,True,,USD
A1237,Caldera Partners Co,calderapartners.example.com,AMER,Enterprise,Gaming,U212,2023-01-15 00:00:00,False,,SGD
A1040,Lattice Holdings Pte Ltd,latticeholdings.example.com,LATAM,Mid-Market,Payments,U219,2024-02-12 00:00:00,False,,USD
A1348,Stanhope Custody LLC,stanhopecustody.example.com,AMER,Enterprise,Consulting,U203,2024-04-06 00:00:00,False,,USD
A1072,Keystone Exchange GmbH,keystoneexchange.example.com,APAC,SMB,Government,U213,2023-06-09 00:00:00,False,,GBP
A1266,Vertex Capital Ltd,vertexcapital.example.com,AMER,Mid-Market,Government,U220,2024-04-15 00:00:00,False,,USD
A1291,Ironclad Financial Pte Ltd,ironcladfinancial.example.com,LATAM,SMB,Crypto Native,U213,2024-01-24 00:00:00,False,,USD
A1079,Lumen Trust Ltd,lumentrust.example.com,AMER,Mid-Market,Government,U213,2025-07-18 00:00:00,False,,USD
A1175,Orbit Advisors GmbH,orbitadvisors.example.com,EMEA,SMB,Fintech,U206,2026-01-17 00:00:00,False,,USD
A1388,Cobalt Financial Pte Ltd,cobaltfinancial.example.com,AMER,Public Sector,Government,U216,2024-01-15 00:00:00,False,,EUR
A1039,Norsk Partners Co,norskpartners.example.com,AMER,Mid-Market,Crypto Native,U207,2024-08-23 00:00:00,False,,USD
A1130,Stanhope Capital SA,stanhopecapital.example.com,EMEA,Public Sector,Fintech,U219,2025-12-07 00:00:00,False,,USD
A1258,Eastgate Financial Co,eastgatefinancial.example.com,APAC,SMB,Government,U207,2025-09-03 00:00:00,False,,USD
A1134,Harrow Ventures SA,harrowventures.example.com,AMER,Mid-Market,Financial Services,U218,2024-05-06 00:00:00,False,,EUR
A1416,Umbra Bancorp GmbH,umbrabancorp.example.com,APAC,Mid-Market,Consulting,U203,2022-07-13 00:00:00,False,A1062,SGD
A1084,Eastgate Financial GmbH,eastgatefinancial.example.com,EMEA,SMB,Consulting,U217,2022-09-20 00:00:00,False,,USD
A1356,Eastgate Bancorp Ltd,eastgatebancorp.example.com,AMER,Enterprise,Crypto Native,U208,2024-02-25 00:00:00,False,,BRL
A1036,Cobalt Partners Pte Ltd,cobaltpartners.example.com,AMER,Mid-Market,Crypto Native,U208,2024-12-29 00:00:00,False,,EUR
A1082,Keystone Ventures GmbH,keystoneventures.example.com,AMER,Mid-Market,Payments,U216,2025-07-21 00:00:00,False,,BRL
A9008,Redmond Labs GmbH,redmondlabs.example.com,EMEA,Public Sector,Gaming,U218,2023-01-19 00:00:00,True,,USD
A1091,Sable Group Inc,sablegroup.example.com,APAC,Enterprise,Payments,U211,2023-08-05 00:00:00,False,,EUR
A1204,Ironclad Trust GmbH,ironcladtrust.example.com,APAC,Mid-Market,Fintech,U203,2026-03-14 00:00:00,False,,USD
A9000,Halcyon Holdings Co,halcyonholdings.example.com,APAC,SMB,Payments,U201,2024-11-19 00:00:00,True,,USD
A1037,Cobalt Group LLC,cobaltgroup.example.com,AMER,Mid-Market,Consulting,U215,2026-04-09 00:00:00,False,,USD
A1188,Stanhope Holdings Inc,stanhopeholdings.example.com,AMER,Enterprise,Crypto Native,U217,2025-12-25 00:00:00,False,A1036,USD
A1384,Lumen Financial Pte Ltd,lumenfinancial.example.com,EMEA,Enterprise,Payments,U216,2025-11-27 00:00:00,False,,USD
A1100,Fairlane Trust LLC,fairlanetrust.example.com,APAC,Mid-Market,Payments,U205,2024-09-19 00:00:00,False,,USD
A1337,Harrow Capital Pte Ltd,harrowcapital.example.com,APAC,Public Sector,Government,U205,2023-04-28 00:00:00,False,,USD
A1105,Ardent Holdings Pte Ltd,ardentholdings.example.com,APAC,Public Sector,Fintech,U206,2025-11-12 00:00:00,False,,USD
A1227,Umbra Analytics Inc,umbraanalytics.example.com,AMER,Mid-Market,Crypto Native,U216,2023-04-03 00:00:00,False,,USD
A1329,Cobalt Securities SA,cobaltsecurities.example.com,APAC,Public Sector,Payments,U208,2023-01-28 00:00:00,False,,USD
A9012,Inlet Partners Inc,inletpartners.example.com,AMER,Mid-Market,Consulting,U218,2024-09-03 00:00:00,True,,USD
A1034,Riverbend Labs GmbH,riverbendlabs.example.com,LATAM,Mid-Market,Payments,U216,2025-12-19 00:00:00,False,,USD
A9009,Norsk Holdings Inc,norskholdings.example.com,APAC,Mid-Market,Crypto Native,U223,2024-02-09 00:00:00,True,,GBP
A1035,Fairlane Capital LLC,fairlanecapital.example.com,LATAM,Mid-Market,Financial Services,U204,2023-09-08 00:00:00,False,,USD
A1306,Marrow Exchange Inc,marrowexchange.example.com,AMER,Public Sector,Insurance,U208,2023-07-10 00:00:00,False,,USD
A9600,AURIGA LABS LIMITED,aurigalabs.example.com,AMER,SMB,Consulting,U213,2023-07-18 00:00:00,False,,USD
A1274,Tessera Exchange LLC,tesseraexchange.example.com,EMEA,Public Sector,Fintech,U214,2024-05-28 00:00:00,False,,EUR
A1226,Dovetail Advisors Pte Ltd,dovetailadvisors.example.com,LATAM,Mid-Market,Insurance,U214,2026-02-13 00:00:00,False,,BRL
A1326,Beltway Payments Inc,beltwaypayments.example.com,EMEA,Enterprise,Consulting,U207,2025-09-23 00:00:00,False,,USD
A1389,Inlet Partners Inc,inletpartners.example.com,AMER,Mid-Market,Consulting,U218,2024-09-03 00:00:00,False,,USD
A1167,Halcyon Digital GmbH,halcyondigital.example.com,AMER,Mid-Market,Crypto Native,U223,2024-02-20 00:00:00,False,,USD
A1393,Stanhope Group Co,stanhopegroup.example.com,,,Financial Services,U217,2023-03-25 00:00:00,False,,USD
A1419,Vertex Labs PLC,vertexlabs.example.com,LATAM,SMB,Consulting,U219,2025-05-27 00:00:00,False,,BRL
A1239,Vertex Trust Pte Ltd,vertextrust.example.com,EMEA,Enterprise,Financial Services,U207,2023-05-26 00:00:00,False,,USD
A1371,Palisade Systems Inc,palisadesystems.example.com,AMER,Mid-Market,Payments,U210,2026-01-15 00:00:00,False,,USD
A1325,Meridian Securities LLC,meridiansecurities.example.com,AMER,Enterprise,Insurance,U215,2025-02-15 00:00:00,False,,USD
A1309,Dovetail Digital Pte Ltd,dovetaildigital.example.com,,SMB,Crypto Native,U201,2023-01-19 00:00:00,False,,USD
A1292,Inlet Group GmbH,inletgroup.example.com,AMER,Public Sector,Gaming,U205,2024-07-11 00:00:00,False,,GBP
A1056,Ironclad Payments Inc,ironcladpayments.example.com,APAC,Enterprise,Crypto Native,U206,2023-12-27 00:00:00,False,,USD
A1303,Auriga Capital Ltd,aurigacapital.example.com,AMER,Mid-Market,Financial Services,U207,2022-11-19 00:00:00,False,,USD
A1327,Palisade Ventures LLC,palisadeventures.example.com,AMER,SMB,Government,U209,2024-07-28 00:00:00,False,,USD
A1137,Lumen Digital Inc,lumendigital.example.com,APAC,Enterprise,Fintech,U223,2023-10-07 00:00:00,False,,USD
A1199,Keystone Partners SA,keystonepartners.example.com,AMER,Mid-Market,Fintech,U207,2023-01-29 00:00:00,False,,BRL
A1408,Ironclad Networks PLC,ironcladnetworks.example.com,EMEA,SMB,Crypto Native,U223,2024-12-05 00:00:00,False,,GBP
A1332,Pinnacle Capital Co,pinnaclecapital.example.com,APAC,Public Sector,Payments,U203,2024-08-11 00:00:00,False,,USD
A1404,Solstice Analytics Ltd,solsticeanalytics.example.com,AMER,Enterprise,Gaming,U214,2024-12-27 00:00:00,False,,USD
A1043,Marrow Digital PLC,marrowdigital.example.com,APAC,SMB,Payments,U202,2023-02-08 00:00:00,False,,EUR
A1319,Fairlane Securities PLC,fairlanesecurities.example.com,LATAM,Enterprise,Fintech,U201,2023-05-13 00:00:00,False,,USD
A1345,Redmond Custody Pte Ltd,redmondcustody.example.com,AMER,Mid-Market,Gaming,U206,2023-12-02 00:00:00,False,,USD
A1061,Lattice Securities Inc,latticesecurities.example.com,AMER,SMB,Payments,U206,2025-07-03 00:00:00,False,,USD
A1183,Auriga Networks SA,auriganetworks.example.com,AMER,,Crypto Native,U216,2022-09-09 00:00:00,False,,GBP
A1090,Inlet Analytics Inc,inletanalytics.example.com,APAC,SMB,Government,U207,2026-03-07 00:00:00,False,,USD
A1216,Ironclad Ventures Pte Ltd,ironcladventures.example.com,APAC,Enterprise,Government,U208,2025-01-27 00:00:00,False,,BRL
A1070,Ardent Partners LLC,ardentpartners.example.com,LATAM,Mid-Market,Financial Services,U215,2022-12-25 00:00:00,False,,USD
A1279,Sable Ventures Co,sableventures.example.com,AMER,Mid-Market,Financial Services,U207,2024-12-07 00:00:00,False,,USD
A1113,Riverbend Trust LLC,riverbendtrust.example.com,EMEA,Mid-Market,Financial Services,U214,2025-04-27 00:00:00,False,,SGD
A1054,Granite Custody Inc,granitecustody.example.com,,Enterprise,Payments,U213,2023-11-05 00:00:00,False,,SGD
A1044,Norsk Group GmbH,norskgroup.example.com,EMEA,Mid-Market,Payments,U206,2023-07-21 00:00:00,False,,USD
A1318,Halcyon Labs Inc,halcyonlabs.example.com,AMER,SMB,Fintech,U209,2023-11-21 00:00:00,False,,SGD
A1062,Solstice Systems Inc,solsticesystems.example.com,,Mid-Market,Insurance,U217,2024-05-21 00:00:00,False,,USD
A1283,Caldera Securities PLC,calderasecurities.example.com,APAC,SMB,Gaming,U221,2026-01-15 00:00:00,False,,USD
A1209,Meridian Payments Inc,meridianpayments.example.com,,Mid-Market,Financial Services,U216,2026-05-18 00:00:00,False,,GBP
A9015,Beltway Ventures Pte Ltd,beltwayventures.example.com,AMER,Mid-Market,Crypto Native,U200,2025-07-22 00:00:00,True,,USD
A1399,Westford Advisors Ltd,westfordadvisors.example.com,LATAM,SMB,Insurance,U206,2024-10-17 00:00:00,False,,USD
A1247,Lumen Analytics Co,lumenanalytics.example.com,EMEA,Mid-Market,Gaming,U217,2023-08-02 00:00:00,False,,SGD
A1281,Norsk Trust Pte Ltd,norsktrust.example.com,EMEA,Public Sector,Payments,U222,2023-10-01 00:00:00,False,,BRL
A1417,Lumen Holdings Ltd,lumenholdings.example.com,EMEA,Public Sector,Fintech,U208,2026-02-03 00:00:00,False,A1080,USD
A1045,Solstice Financial GmbH,solsticefinancial.example.com,APAC,Mid-Market,Gaming,U210,2025-08-24 00:00:00,False,,USD
A1311,Cobalt Financial Inc,cobaltfinancial.example.com,LATAM,Enterprise,Gaming,U214,2024-09-19 00:00:00,False,,USD
A1406,Auriga Payments Pte Ltd,aurigapayments.example.com,,Public Sector,Consulting,U205,2026-05-01 00:00:00,False,,EUR
A1022,Orbit Trust Co,orbittrust.example.com,EMEA,SMB,Insurance,U220,2023-10-25 00:00:00,False,,EUR
A1270,Beltway Bancorp Co,beltwaybancorp.example.com,EMEA,Enterprise,Insurance,U201,2023-11-30 00:00:00,False,A1012,SGD
A1195,Auriga Securities Inc,aurigasecurities.example.com,,Enterprise,Fintech,U211,2025-09-27 00:00:00,False,,USD
A1272,Orbit Networks Inc,orbitnetworks.example.com,EMEA,SMB,Government,U217,2024-11-29 00:00:00,False,,USD
A1238,Quarry Networks PLC,quarrynetworks.example.com,AMER,SMB,Government,U201,2023-04-04 00:00:00,False,,USD
A1358,Palisade Partners Co,palisadepartners.example.com,EMEA,Enterprise,Fintech,U217,2025-04-30 00:00:00,False,,BRL
A1256,Palisade Payments Pte Ltd,palisadepayments.example.com,AMER,Enterprise,Fintech,U214,2025-02-11 00:00:00,False,,BRL
A1336,Northwind Capital PLC,northwindcapital.example.com,AMER,SMB,Insurance,U209,2025-05-28 00:00:00,False,,SGD
A1048,Umbra Labs LLC,umbralabs.example.com,AMER,Mid-Market,Insurance,U201,2024-03-07 00:00:00,False,,USD
A1171,Inlet Exchange LLC,inletexchange.example.com,APAC,Mid-Market,Insurance,U206,2024-08-30 00:00:00,False,,USD
A1370,Beltway Capital GmbH,beltwaycapital.example.com,EMEA,,Insurance,U220,2025-04-09 00:00:00,False,,USD
A1143,Granite Advisors GmbH,graniteadvisors.example.com,LATAM,Public Sector,Gaming,U211,2025-01-31 00:00:00,False,,USD
A1316,Pinnacle Payments PLC,pinnaclepayments.example.com,EMEA,Mid-Market,Financial Services,U222,2022-10-05 00:00:00,False,A1007,USD
A1031,Gilder Financial Co,gilderfinancial.example.com,,Mid-Market,Government,U203,2024-05-11 00:00:00,False,,GBP
A1351,Juniper Trust Co,junipertrust.example.com,,Enterprise,Crypto Native,U203,2025-03-11 00:00:00,False,,EUR
A1347,Juniper Partners LLC,juniperpartners.example.com,APAC,Enterprise,Insurance,U217,2024-07-11 00:00:00,False,,USD
A1131,Norsk Holdings GmbH,norskholdings.example.com,AMER,Enterprise,Government,U207,2025-12-23 00:00:00,False,,USD
A1269,Granite Custody PLC,granitecustody.example.com,AMER,Enterprise,Financial Services,U208,2026-01-02 00:00:00,False,,EUR
A1139,Granite Holdings SA,graniteholdings.example.com,,Mid-Market,Crypto Native,U209,2024-03-26 00:00:00,False,,EUR
A1094,Solstice Networks LLC,solsticenetworks.example.com,APAC,Enterprise,Financial Services,U206,2025-01-25 00:00:00,False,,USD
A1242,Tessera Advisors SA,tesseraadvisors.example.com,EMEA,SMB,Insurance,U209,2025-11-21 00:00:00,False,,GBP
A1379,Ardent Ventures PLC,ardentventures.example.com,AMER,Enterprise,Crypto Native,U203,2025-08-28 00:00:00,False,,USD
A1411,Harrow Exchange LLC,harrowexchange.example.com,LATAM,SMB,Crypto Native,U202,2025-03-03 00:00:00,False,,USD
A1397,Gilder Exchange Co,gilderexchange.example.com,APAC,SMB,Gaming,U200,2024-04-12 00:00:00,False,,USD
A1215,Harrow Partners Pte Ltd,harrowpartners.example.com,EMEA,Public Sector,Government,U223,2024-12-13 00:00:00,False,,USD
A1390,Cobalt Labs LLC,cobaltlabs.example.com,APAC,Mid-Market,Insurance,U205,2024-06-18 00:00:00,False,,GBP
A1032,Bluewater Ventures PLC,bluewaterventures.example.com,AMER,Mid-Market,Payments,U207,2025-04-01 00:00:00,False,,USD
A9503,Internal Test - Finance,northwind-example.com,AMER,SMB,Consulting,U200,2024-05-02 10:00:00,False,,USD
A1320,Beltway Ventures Pte Ltd,beltwayventures.example.com,AMER,,Crypto Native,U200,2025-07-22 00:00:00,False,,USD
A1135,Harrow Custody Pte Ltd,harrowcustody.example.com,EMEA,,Fintech,U214,2025-07-30 00:00:00,False,,GBP
A1289,Stanhope Networks GmbH,stanhopenetworks.example.com,EMEA,SMB,Financial Services,U201,2023-05-04 00:00:00,False,,GBP
A1114,Zenith Ventures Inc,zenithventures.example.com,AMER,Enterprise,Crypto Native,U215,2024-03-28 00:00:00,False,,USD
A1207,Keystone Capital PLC,keystonecapital.example.com,AMER,SMB,Crypto Native,U202,2025-03-27 00:00:00,False,,USD
A1229,Marrow Holdings Inc,marrowholdings.example.com,APAC,Mid-Market,Gaming,U201,2023-01-22 00:00:00,False,,USD
A1174,Granite Ventures Pte Ltd,graniteventures.example.com,AMER,Enterprise,Government,U222,2025-08-15 00:00:00,False,,USD
A1008,Bluewater Securities GmbH,bluewatersecurities.example.com,AMER,Mid-Market,Consulting,U203,2023-10-23 00:00:00,False,,EUR
A1297,Redmond Labs GmbH,redmondlabs.example.com,EMEA,Public Sector,Gaming,U218,2023-01-19 00:00:00,False,,USD
A1359,Thorne Analytics PLC,thorneanalytics.example.com,EMEA,SMB,Insurance,U208,2023-02-24 00:00:00,False,,EUR
A1330,Solstice Advisors SA,solsticeadvisors.example.com,,Enterprise,Financial Services,U204,2026-02-01 00:00:00,False,,USD
A1038,Dovetail Digital LLC,dovetaildigital.example.com,EMEA,SMB,Payments,U209,2025-02-20 00:00:00,False,,USD
A1064,Stanhope Capital Inc,stanhopecapital.example.com,LATAM,SMB,Gaming,U216,2023-03-27 00:00:00,False,,USD
A1372,Quarry Partners LLC,quarrypartners.example.com,AMER,Mid-Market,Gaming,U223,2025-06-02 00:00:00,False,,USD
A1353,Halcyon Ventures Inc,halcyonventures.example.com,LATAM,Public Sector,Crypto Native,U202,2022-12-18 00:00:00,False,,GBP
A1046,Fairlane Labs SA,fairlanelabs.example.com,AMER,Mid-Market,Government,U216,2023-12-29 00:00:00,False,,USD
A1277,Zenith Networks Pte Ltd,zenithnetworks.example.com,APAC,SMB,Government,U211,2022-08-11 00:00:00,False,,USD
A1293,Caldera Bancorp SA,calderabancorp.example.com,EMEA,Enterprise,Government,U203,2025-09-17 00:00:00,False,,BRL
A1170,Fairlane Analytics Co,fairlaneanalytics.example.com,EMEA,Public Sector,Government,U220,2024-10-21 00:00:00,False,A1098,USD
A1233,Bluewater Securities Ltd,bluewatersecurities.example.com,LATAM,Mid-Market,Government,U214,2023-11-17 00:00:00,False,,USD
A1208,Marrow Labs PLC,marrowlabs.example.com,APAC,SMB,Crypto Native,U219,2023-08-06 00:00:00,False,,USD
A1206,Keystone Systems SA,keystonesystems.example.com,,Mid-Market,Crypto Native,U216,2022-12-06 00:00:00,False,,USD
A1109,Meridian Exchange Inc,meridianexchange.example.com,AMER,Mid-Market,Gaming,U215,2024-05-01 00:00:00,False,,EUR
A9004,Quarry Payments Inc,quarrypayments.example.com,AMER,Mid-Market,Payments,U210,2026-04-19 00:00:00,True,,EUR
A1075,Caldera Custody PLC,calderacustody.example.com,EMEA,Enterprise,Crypto Native,U211,2023-04-11 00:00:00,False,,EUR
A1129,Inlet Advisors SA,inletadvisors.example.com,LATAM,SMB,Government,U215,2024-10-26 00:00:00,False,,USD
A1006,Pinnacle Systems SA,pinnaclesystems.example.com,EMEA,Enterprise,Insurance,U220,2023-06-09 00:00:00,False,,USD
A1053,Lumen Labs Pte Ltd,lumenlabs.example.com,EMEA,SMB,Financial Services,U212,2025-07-28 00:00:00,False,,USD
A1285,Quarry Custody PLC,quarrycustody.example.com,AMER,SMB,Fintech,U214,2025-04-02 00:00:00,False,,SGD
A1213,Fairlane Financial GmbH,fairlanefinancial.example.com,EMEA,Enterprise,Gaming,U215,2025-03-19 00:00:00,False,,USD
A1220,Beltway Holdings Pte Ltd,beltwayholdings.example.com,EMEA,Enterprise,Crypto Native,U223,2024-11-12 00:00:00,False,,USD
A1149,Bluewater Systems Pte Ltd,bluewatersystems.example.com,,SMB,Government,U212,2024-03-10 00:00:00,False,,EUR
A1192,Caldera Capital Pte Ltd,calderacapital.example.com,EMEA,Enterprise,Consulting,U203,2024-06-24 00:00:00,False,A1043,USD
A1343,Fairlane Group Pte Ltd,fairlanegroup.example.com,EMEA,,Government,U201,2023-06-23 00:00:00,False,,USD
A9011,Lumen Holdings Ltd,lumenholdings.example.com,EMEA,Public Sector,Fintech,U208,2026-02-03 00:00:00,True,A1080,USD
A1415,Marrow Advisors GmbH,marrowadvisors.example.com,LATAM,Mid-Market,Insurance,U201,2024-08-21 00:00:00,False,,USD
A1234,Lattice Digital Pte Ltd,latticedigital.example.com,LATAM,Mid-Market,Government,U210,2025-06-19 00:00:00,False,,USD
A1248,Keystone Trust Inc,keystonetrust.example.com,LATAM,Enterprise,Insurance,U217,2023-12-13 00:00:00,False,,USD
A1074,Vertex Systems Pte Ltd,vertexsystems.example.com,EMEA,Mid-Market,Gaming,U213,2022-10-28 00:00:00,False,,GBP
A1263,Halcyon Partners SA,halcyonpartners.example.com,AMER,Enterprise,Financial Services,U219,2025-09-13 00:00:00,False,,USD
A1190,Dovetail Custody GmbH,dovetailcustody.example.com,AMER,Public Sector,Fintech,U207,2023-07-27 00:00:00,False,A1082,SGD
A9605,Zenith Labs Pte Limited ,zenithlabs.example.com,APAC,Mid-Market,Crypto Native,U223,2023-06-29 00:00:00,False,,USD
A9604,Dovetail Custody GmbH ,dovetailcustody.example.com,AMER,Public Sector,Fintech,U207,2023-07-27 00:00:00,False,A1082,SGD
A9603,STANHOPE NETWORKS LIMITED,stanhopenetworks.example.com,AMER,Enterprise,Payments,U201,2026-03-05 00:00:00,False,,USD
A1352,Ardent Group GmbH,ardentgroup.example.com,APAC,,Fintech,U200,2025-01-07 00:00:00,False,,EUR
A1394,Riverbend Labs Pte Ltd,riverbendlabs.example.com,AMER,Mid-Market,Government,U202,2023-07-04 00:00:00,False,,USD
A1160,Palisade Labs Inc,palisadelabs.example.com,AMER,Public Sector,Insurance,U209,2023-04-13 00:00:00,False,,USD
A1375,Redmond Ventures PLC,redmondventures.example.com,AMER,Enterprise,Insurance,U216,2023-05-30 00:00:00,False,,EUR
A1186,Sable Ventures GmbH,sableventures.example.com,EMEA,SMB,Fintech,U206,2025-01-25 00:00:00,False,,USD
A1286,Cobalt Group Ltd,cobaltgroup.example.com,EMEA,Mid-Market,Government,U206,2023-06-05 00:00:00,False,,USD
A1265,Gilder Labs Pte Ltd,gilderlabs.example.com,APAC,Enterprise,Gaming,U218,2025-04-30 00:00:00,False,,USD
A1145,Harrow Labs Pte Ltd,harrowlabs.example.com,AMER,SMB,Crypto Native,U211,2023-07-03 00:00:00,False,,USD
A1104,Quarry Partners Pte Ltd,quarrypartners.example.com,EMEA,SMB,Crypto Native,U218,2025-08-10 00:00:00,False,,USD
A1288,Eastgate Holdings LLC,eastgateholdings.example.com,LATAM,Mid-Market,Payments,U200,2025-04-05 00:00:00,False,,EUR
A1110,Redmond Systems Ltd,redmondsystems.example.com,EMEA,Mid-Market,Insurance,U203,2023-01-28 00:00:00,False,,EUR
A1010,Auriga Ventures SA,aurigaventures.example.com,AMER,Mid-Market,Gaming,U219,2026-02-18 00:00:00,False,,EUR
A1024,Cobalt Financial Ltd,cobaltfinancial.example.com,AMER,Enterprise,Government,U209,2022-08-31 00:00:00,False,,USD
A1198,Westford Holdings LLC,westfordholdings.example.com,AMER,Mid-Market,Insurance,U217,2024-06-04 00:00:00,False,,USD
A1017,Orbit Group LLC,orbitgroup.example.com,APAC,SMB,Gaming,U213,2023-05-12 00:00:00,False,,EUR
A1049,Juniper Trust Pte Ltd,junipertrust.example.com,,Public Sector,Gaming,U218,2024-08-11 00:00:00,False,,USD
A1102,Kestrel Exchange Ltd,kestrelexchange.example.com,EMEA,Mid-Market,Financial Services,U210,2024-07-31 00:00:00,False,,USD
A1240,Northwind Capital Pte Ltd,northwindcapital.example.com,LATAM,SMB,Payments,U208,2022-07-30 00:00:00,False,,USD
A1409,Eastgate Securities Pte Ltd,eastgatesecurities.example.com,EMEA,Public Sector,Insurance,U209,2022-11-19 00:00:00,False,,USD
A1232,Northwind Group GmbH,northwindgroup.example.com,AMER,,Fintech,U210,2024-01-25 00:00:00,False,,USD
A1223,Cobalt Capital Co,cobaltcapital.example.com,AMER,Mid-Market,Insurance,U204,2024-10-13 00:00:00,False,,USD
A1398,Dovetail Labs Inc,dovetaillabs.example.com,LATAM,SMB,Crypto Native,U201,2024-08-18 00:00:00,False,,EUR
A1410,Lattice Ventures Pte Ltd,latticeventures.example.com,EMEA,Mid-Market,Financial Services,U213,2025-09-18 00:00:00,False,,USD
A1201,Westford Financial Co,westfordfinancial.example.com,LATAM,SMB,Fintech,U220,2026-01-31 00:00:00,False,,EUR
A1284,Kestrel Bancorp GmbH,kestrelbancorp.example.com,AMER,Mid-Market,Payments,U214,2024-05-07 00:00:00,False,,GBP
A1224,Auriga Exchange Co,aurigaexchange.example.com,EMEA,SMB,Financial Services,U220,2026-03-24 00:00:00,False,,USD
A1121,Caldera Holdings Ltd,calderaholdings.example.com,LATAM,Mid-Market,Crypto Native,U219,2023-11-24 00:00:00,False,,USD
A1340,Sable Advisors SA,sableadvisors.example.com,AMER,Public Sector,Financial Services,U213,2024-08-03 00:00:00,False,,USD
